"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Burton, Mary","84.83","47.89","85.11","40.78","33.54","56.59","94.9","84.06"
"Sodbinow, Grace","49.45","99.28","85.15","73.36","74.55","94.88","10.59","94.2"
"Singh, Hannah","34.13","77.62","81.88","58.52","60.68","80.22","99.53","56.67"
"Kearney, Monica","65.41","43.3","40","80.37","63.74","69.3","97.56","47.56"
"Herrera, Alejandro","52.09","62.74","96.43","63.23","79.57","96.62","48.19","84.17"
"Parker, Mikel","84.93","77.99","22.68","32.69","37.94","95.7","95.74","34.14"
"Mattson, Andrew","35.32","77.07","97.58","22.15","64.29","51.33","48.59","74.26"
"Huey, Masinde","54.33","30.24","56.32","65.86","21.37","95.45","59.45","92.09"
"Tafoya, Alex","40.2","82.8","55.84","58.14","74.05","28.34","94.09","84.64"
"Harvey, Tia","82.09","63.45","33.99","66.69","44.89","57.5","65.57","78.96"
"Nguyen, Mona","58.85","43.03","60.07","52.97","84.83","79.95","46.78","42.57"
"Shinault, Patricia","34.87","67.47","57.37","41.23","73.69","33.24","77.46","82.58"
"Nichols, Mercedes","99.87","60.72","57.6","34.97","59.68","97.91","79.29","60.5"
"Lang, Loretta","96.08","49.9","43.28","68.2","86.97","99.5","82.12","97.95"
"Graham, Jasmin","4.44","30.25","59.97","58.98","64.09","49.77","18.42","34.46"
"Hiromitsu, Manoj","66.48","95.07","17.47","91.35","38.13","99.97","34.42","86.17"
"Kang, Cierra","51.01","70.07","75.41","51.31","51.25","80.07","31.2","32.4"
"Santello, Kendall","35.94","45.16","43.54","72.57","49.44","78.78","99.45","98.63"
"Covington, Zechariah","45.8","35.76","73.85","43.55","54.2","97.35","56.78","99.99"
"Chinn, Marie","33","41.51","69.06","39.91","75.41","89.34","61.1","63.74"
"Brown, Shelby","75.09","76.93","50.38","64.4","37.05","8.76","82.61","38.2"
"Martinez, Richard","81.3","48.32","7","53.09","91.85","95.41","52.14","23.64"
"Thompkins Jr, Olivia","58.99","52.85","66.84","42.42","37.63","77.82","85.2","47.73"
"Yarbrough, Samika","83.33","59.74","99.21","76.01","62.38","72.04","48.27","27.6"
"Heideman, Emily","50.07","98.59","41.87","81.39","80.39","2.88","84.16","24.59"
"Richardson, Alex","78.04","96.53","76.56","86.24","85.48","57.78","98.42","54.58"
"Mendoza, Dulce","58.69","97.21","66.6","40.74","56.54","98.1","64.34","99.15"
"Rowles, Eugene","37.32","78.6","43.11","69.06","63.04","28.8","64.87","73.24"
