"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Mcfall, Mariyah","8.06","26.12","42.89","83.55","66.93","75.05","94.73","77.56"
"Smith II, Brandi","51.45","37.8","80.19","50.95","72.99","79.6","54.02","68.94"
"Martinez, Carlos","85.47","31.79","61.71","38.01","58.2","41.28","82.8","96.11"
"Bull, Yvesvince","60.22","41.45","80.21","93.52","14.94","39.48","52.74","82.12"
"Esquibel, Ramesh","39.4","68.42","57","50.64","39.17","67.63","36.35","9.39"
"Hullum, Inikpi","48.66","57.32","70.1","81.02","62.67","77.31","57.35","43.7"
"Katamaneni, Janice","77.78","74.48","32.07","55.33","79.93","28.35","54.27","42.97"
"Omar, Tyrell","69.99","28.37","52.48","47.38","53.91","73.67","32.3","50.79"
"Gonzalez, Denise","62.39","36.36","75.58","59.04","18.58","99.13","97.65","49.75"
"Hight, Taiyler","50.22","2.47","3.33","87.43","64.29","42.81","45.75","24.23"
"Homer, Trayco","18.53","21.37","78.22","25.92","69.29","33.74","79.51","54.15"
"Shah, Alex","21.83","31.59","84.09","16.96","55.03","26.94","80.28","43.57"
"Lee, Kimberly","38.95","39.17","97.63","84.13","83.66","98.93","55.39","59.03"
"Craig, Dyanna","19.59","50.65","23.44","97.68","54.02","54.34","38.12","35.34"
"Allison, Althean","49.4","92.54","76.81","99.83","99.93","71.53","32.11","56.49"
"Solis, Alina","96","85.45","58.83","64.2","53.11","80.01","38","60.7"
"Vialpando, Antonio","40.08","59.35","66.28","55.37","82.55","36.13","98.71","94.29"
"Law, Kennady","46.34","13.81","24.25","97.3","73.53","26.4","98","56.24"
"Miller, August","57.58","75.89","57.45","59.69","67.43","81.26","45.84","91.58"
"Sanchez, Robert","61.97","77.5","57.71","62.38","24.28","85.49","36.47","32.8"
"Alban, Eric","91.84","54.62","34.17","54.52","53.89","7.41","30.79","94.87"
"Ravenell, Zachary","9.64","36.26","55.21","34.51","71.72","98.05","81.71","83.95"
"Whelan, Brian","52.7","82.18","64.3","82.31","30.93","24.53","78.47","53.2"
"Darnell, Austin","58.96","99.96","72.67","97.2","67.74","55.7","50.51","33.34"
"Strand, Mariah","94.16","47.79","64.37","80.31","79.1","64.85","84.55","3.19"
"Nguyen, Alexandra","33.94","46.25","40.29","50.32","67.69","46.76","57.72","26.62"
