"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Fernandez, Taraya","22.26","61.09","63.22","61.29","67.57","84.24","51.88","78.92"
"Gallagher, Nicholas","80.07","84.73","97.25","62.53","70.56","30.38","54.51","55.77"
"Nguyen, Tyler","43.77","64.2","15.65","35.91","76.55","53.24","68.34","83.17"
"Avila, Eric","95.72","55.48","16.63","98.81","34.95","54.59","76.75","85.93"
"Kim, Randa","74.9","85.22","27.28","25.41","63.09","75.04","20.75","48.2"
"Brito Reynoso, Lysandra","81.02","76.38","10.17","56.81","85.68","78.09","84.52","78.18"
"Tran, Carly","57.71","19.1","68.02","26.2","71.14","32.53","82.52","50.7"
"Song, Angela","38.65","53.8","85.93","30.47","92.85","39.3","98.2","42.77"
"Kim, Mary","44.85","71.6","40.01","86.8","42.97","43","46.88","41.67"
"Sierra, Samantha","56.4","81.21","66.94","57.85","36","98.59","80.86","30.58"
"Hardy-Gonzales, Erika","35.63","70.83","99.33","89.26","80.99","79.99","58.82","13.76"
"Yim, Linh","97.63","84.49","98.73","99.18","38.94","74.47","83.64","41.95"
"Bessard, Joshua","99.2","90.8","43.06","82.13","84.53","82.07","77.83","5.87"
"Leyva, Rogelio","66.48","45.66","63.91","64.42","82.42","81.97","69.31","97.03"
"Feng, Hui","47.73","76.42","75.54","53.22","14.44","30.24","60.16","25.57"
"Lee, David","28.37","83.87","80.72","81.14","57.69","76.95","83.45","14.72"
"Escalera, Joseph","37.91","89.08","23.92","98.75","63.04","82.12","56.13","54.1"
"Miller, Kierra","45.28","49.36","40.9","82.09","32.8","54.84","77.06","71.56"
"Lapaz, Joseph","60.11","72.31","40.05","58.89","44.41","42.44","0.9","29.98"
"Langley, Rachel","51.72","84.88","56.96","61.36","35.49","41.86","80.98","21.99"
"Rainey, Cheyenne","29.65","98.76","95.9","38.87","15.72","58.43","59.88","55.44"
"Gamble, Jennifer","36.17","34.64","78","67.56","84.54","78.84","4.79","97.31"
"Howard, Oriana","58.72","52.07","51.7","13.88","41.47","83.93","72.81","64.51"
"Inthavong, Hailey","92.67","83.12","60.24","73.21","98.27","32.75","98.51","79.78"
"Bobo, Kathryn","9.92","99.19","99.55","86.19","79.78","43.41","77.22","56.58"
"Palaniappan, Kathleen","83.7","23.06","18.78","61.1","52.98","56.78","26.3","59.68"
"Larson, Mariah","71.12","57.72","54.95","58.82","63.45","76.1","83.31","61.67"
"Farmer, Dominique","74.6","60.86","47.07","83.91","41.49","62.28","2.89","94.94"
"Traversie, Kala","27.63","31.22","80.53","56.26","78.75","33.33","46.8","48.28"
"Mayfield, Cregory","71.22","54.58","78.28","92.13","40.33","96.61","73.76","61.26"
"Anthony, Kylie","38.18","62.96","44.23","40.39","45.46","38.55","57.15","94.52"
"Phillips IV, Elijah","68.91","99.28","78.35","82.64","10.42","53.7","9.59","75.89"
"Sayers, Shakaila","60.45","51.34","54.02","98.97","77.92","58.17","30.75","69.49"
