"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Nguyen, Chrisna","62.07","85.63","21.22","51.11","38.26","94.61","36.23","66.15"
"Dahm, Channing","45.1","98.1","98.85","52.84","81.62","92.95","26.51","51.32"
"Brito, Nena","50.36","81.36","96.16","42.05","50.81","29.8","48.55","29.96"
"Krajewski, Arianel","74.18","25.83","60.15","4.02","98.89","92.94","43.01","68.53"
"Aranda, Alex","76.74","76.87","44.43","66.67","76.74","59.96","54.48","34.12"
"Mcelroy, Jared","14.55","84.85","82.95","83.03","70.1","78.07","86.31","46.78"
"Sosa, Amanda","81.05","55.67","95.6","98.81","75.78","47.68","73.12","87.17"
"Goffredi, Rodney","37.71","60.41","61.3","56.18","16.33","82.2","47.13","43.68"
"Apodaca, Bryan","55.36","66.54","17.59","39.16","72.78","22.67","61.3","30.38"
"Kim, William","32.6","97.38","93.51","55.95","29.65","47.69","81.71","28.69"
"Vang, Anveshi","10.52","74.54","3.76","51.13","66.99","85.07","88.26","77.95"
"Asbury, Christopher","39.12","47.61","90.84","16.94","81.62","68.37","75.89","33.72"
"Cameron, Kyler","12.83","54.73","98.99","97.5","99.3","33.11","99.6","45.65"
"Morgan, Cheyenne","95.32","80.74","47.38","61.89","54.92","29.5","61.37","77.08"
"Banuelos, Daisha","53.7","50.66","58.53","60.07","61.65","80.07","52.1","77.44"
"Duarte, Adam","17.1","64.04","97.03","43.97","24.52","57.57","75.68","64.13"
"Conner, Donald","89.01","53.77","69.2","79.58","63.85","47.86","55.5","58.32"
"Louanglath, Samantha","82.33","2.42","81.04","42.66","29.17","19.89","59","86.98"
"Mcmurry, Torrean","35.23","52.77","93.3","51.42","96.99","84.78","42.38","52.85"
"Pedroza, Johnny","92.47","76.59","3.36","99.24","57.56","87.18","47.16","81.68"
"Kim, Ye","66.01","68.32","99.14","25.2","96.36","39.64","27.84","57.6"
"Fletcher, Noah","42.62","65.4","94.94","80.89","84.74","28.14","51.34","55.99"
"Kim, Arif","68.21","41.46","89.46","57.65","94.21","84.72","35.64","89.68"
"Rydstrom, Blend","38.46","96.65","48.29","40.76","59.23","72.65","66.5","81.67"
"Echerivel, Alexander","77.95","60.11","79.8","93.12","69.81","56.17","60.39","97.46"
"Williams, Tyesha","25.76","89.99","76.09","75.84","25.71","40.27","51.35","88.88"
"Dinh, Cade","41.69","98.17","85.04","84.92","23.17","52.31","29.73","57.14"
"Colin Ricardez, Paul","28.82","82.09","15.86","74.26","56.27","31.51","66.77","90.51"
"Nguyen, Rathana","41.46","96.08","30.24","97.29","63.03","55.49","98.61","53.39"
"Mayes, Christopher","79.47","74.76","59.66","97.34","42.17","53.86","27.47","80.88"
"Hammons, Robert","66.78","94.61","82.4","84.3","28.47","62.48","37.78","36.52"
