"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Chesnik, Kathryn","70.78","97.83","27.12","38.61","81.09","50.02","54.15","37.47"
"Jackson, Lexess","49.97","64.47","78.87","70.17","62.89","66.08","57.61","40.37"
"Quintana, Bradley","50.8","13.16","65.88","76.95","64.69","81","59.25","90.79"
"Harris, Dajah","20.39","40.32","29.37","45.66","57.25","78.9","61.38","61"
"York, Cheyenne","60.99","83.39","30.42","35.25","82.57","63.18","30.33","69.79"
"Munoz, Anastacia","79.54","53.98","51.64","99.92","57.42","73.16","3.48","72.07"
"Brookshire, Taylor","29.42","31.11","45.8","33.91","52.25","21.34","35.82","51.71"
"Macotela, Natalie","43.12","42.76","85.85","77.21","58.13","98.14","63.93","88.67"
"Robles, Andres","99.25","83.97","80.54","96.75","80.62","29.91","72.97","92.28"
"Silverio, Brian","81.46","97.74","91.96","95.74","72.7","71.37","54.71","55.04"
"Mendez, David","21.65","32.01","61.61","6.79","69.55","57.41","85.31","76.62"
"Sibrian Ayala, Alexander","11.61","23.95","58.39","81.52","64.43","63.92","40.24","60.03"
"Runningbear, Billy","29.24","58.38","44.95","79.45","47.75","27.14","40.31","9.01"
"Suggs, Desmond","63.15","82.72","64.78","22.71","85.65","76.8","41.62","71.59"
"Ranson, Amanda","71.86","94.54","44.9","75.4","32.46","25.64","95.58","54.69"
"Brunkhorst, Laiya","96.6","60.47","45.51","80.23","12.15","94.29","50.93","83.73"
"Jackson Jr, Tori","98.22","34.96","64.53","20.41","33.32","39.78","44.17","82.01"
"Jordan-Smith, Te'Aisha","40.84","42.63","44.49","37.69","37.1","43.89","56.37","90.72"
"Thompson, Alexander","55.91","66.7","28.14","72.64","11.57","82.62","92.96","36.91"
"Fang, Isaiah","51.29","96.85","73.85","53.95","44.7","92.36","77.42","55.83"
"Deer, Damion","60.88","87.41","27.67","51.28","98.7","48.63","61.93","64.4"
"Baik, Mitchell","42.31","83.5","60.84","96.62","80.63","17.74","23.73","78.27"
"Navarrete, Joaquin","73.23","75.78","78.97","67.42","80.21","76.95","98.16","42.39"
"Wong, Andrew","89.45","84.47","82.65","54.96","98.45","62.56","49.45","61.69"
"Gomez, Giovanni","35.24","60.86","71.24","16.98","11.48","99.74","83.09","11.57"
"Locke, Isaiah","59.45","99.58","36.93","53.91","23.26","40.36","0.43","24.88"
"Bransford, Nicole","55.89","79","31.37","73.23","79.79","19.4","55.83","82.44"
"Daughtry, Khalia","33.77","51.96","84.75","82.57","33.37","80.15","75.37","45.96"
"Perez, Giselle","29.25","79.76","26.02","79.36","85.45","35.42","59.12","35.77"
"Webb, Sean","84.87","7.85","76.49","59.51","81.25","95.95","70.56","45.5"
"Valdez, Carolyn","64.68","77.08","37.4","33.96","96.28","68.09","96.98","38.57"
"Smith, Jessica","71","36.36","21.71","71.12","22.84","53.29","41.81","81.51"
"Robles, Jose","80.29","55.76","54.86","99.74","49.57","41.11","59.14","61.79"
"Luna, Charissa","96.87","52.73","48.94","45.86","17.91","93.85","5.31","49.88"
"Tamura, Aisyah","81.74","66.23","38.45","57.02","46.58","51.79","30.11","33.5"
