"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Duru, Kyrri","34.67","80.09","76.77","94.45","79.4","28.75","64.32","43.8"
"Schell, Alyssa","90.19","56.39","60.92","85.94","61.79","87.36","57.58","59.2"
"Marquez Palos, Angelina","54.93","38.53","62.83","75.96","56.07","77.5","76.25","75.97"
"Calvo, Julian","55.27","68.9","78.59","84.22","74.86","98.45","48.67","70.3"
"Lukens, Janalen","54.49","89.7","92.46","60.78","59.37","16.78","84.5","47.36"
"Stacy, Brandi","75.91","96.62","78.69","21.14","26.41","43.09","62.34","58.74"
"Gurule, Christian","64.6","88.08","51.91","78.07","21.02","80.6","98.83","77.21"
"Vialpando, Meliton","51.81","33.67","56.34","76.13","39.54","34.78","68.03","98.19"
"Worley, Sara","98.78","27.59","1.62","68.35","37.41","56.67","68.45","29.48"
"Sarabia, Mariela","39.65","79.91","77.82","83.82","82.81","63.19","29.42","58.53"
"Velasquez, Brandon","25.31","42.98","39.18","81.6","27.9","8.13","54.12","51.29"
"Lovins, Dikchhya","86.6","62.58","99.12","71.37","40.87","95.02","77.92","84.83"
"Miller, Dominic","74.72","84.33","47.98","65.66","80.68","67.19","99.35","81.72"
"Biryuk, Austin","49.32","82.13","96.76","60.62","38.42","63.14","47.12","20"
"Hamm, Tapedza","77.87","75.44","75.54","33.45","46.59","50.27","93.58","98.66"
"Teske, Quintrella","58.65","79.49","20.58","75.49","39.53","63.77","80.07","79.16"
"Lu, Chimedlkham","25.77","98.88","81.71","26.63","86.62","84.5","52.81","99.12"
"Apparasu, David","36.64","6.46","44.02","55.43","54.84","60.85","47.49","70.25"
"Strauss-Subia, Asiah","42.67","62.52","51.81","82.87","55.91","41","97.85","98.7"
"Hodge, Dominique","41.04","53.85","62.68","57.37","87.07","75.9","40.4","32.44"
"Bonds, Daquawn","54.92","57.27","43.74","43.37","76.45","79.3","70.68","29.78"
"Williams, Bria","52.19","96.78","98.21","39.22","31.46","74","79.22","5.99"
"Lawson, Keynon","43.88","42.54","62.71","17.09","74.47","38.39","63.23","89.39"
"Guevara, Bradley","45.95","40.52","81.8","51.16","85.7","66.6","82.12","91.97"
"Napila, Samantha","53.64","43.61","61.65","99.29","19.05","38.5","86.47","36.77"
"Jackson, Essence","82.79","71.19","94.77","85.37","78.75","53.27","61.42","43.6"
