"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Reynolds, Natasha","96.9","38.46","53.02","96.95","99.48","98.25","11.24","83.53"
"Leopold, Voungbryan","23.74","86.82","45.61","82.93","34.15","47.17","15.5","81.49"
"Gaynor, Nicole","83.77","80.85","81.92","55.67","50.22","99.87","43.84","57.54"
"Williams, Leighann","27.48","89.94","57.31","67.2","64.75","48.47","45.21","47.57"
"Schermer, Pauline Cathrina","64.6","93.25","65.84","47.52","56.56","87.46","97.52","81.84"
"Nguyen, Nicole","75.6","24.07","68.53","53.32","42.13","10.51","35.29","61.91"
"Santos, Eva","58.15","67.58","76.97","86.2","99.88","41.11","83.93","76.46"
"Flemings, Kyle","70.94","36.8","61.36","47.6","25.21","95.53","46.89","13.03"
"Cho, Jomelyn","85","83.3","64.44","58.32","55.94","82.83","44.96","46.19"
"Bancroft, Jule","99.63","98.82","84.15","95.19","97.63","3.17","92.03","36.63"
"Romero, Javonte","54.19","81.74","96.94","47.91","58","99.67","46.31","55.82"
"Holmes, Jonathan","4.44","60.14","56.57","59.24","67.57","67.62","63.96","94.27"
"Abeyta, Philman","41.99","4.54","81.72","79.56","58.46","42.49","78.77","63.08"
"Farley, Alexander","98.72","49.16","61.43","79.98","99.01","31.8","55.51","59.76"
"Mueller, Alexandra","56.75","96.66","9.36","34.07","85.29","93.83","18.8","49.12"
"Siler-Green, Curran","43.03","76.77","26.56","59.15","56.73","63.48","25.73","64.62"
"Severance, Sierra","26.04","76.65","87.19","63.27","15.33","99.35","62.27","95.94"
"Powless, Michael","8.44","27.2","78.06","96.94","65.04","35.36","97.87","87.39"
"Garcia, Karan","87.41","79.98","96.14","96.07","80.82","94.66","85.48","86.1"
"Jones, Maurice","22.9","78.43","80.32","96.61","59.92","33.93","99.79","72.45"
"Hunter, Ramel","72.51","67.32","98.82","59","15.53","52.53","74.62","26.6"
"Martinez, Theodore","86.87","41.35","43.05","66.52","82.72","33.49","86.45","99.64"
"Parrow, Xavier","53.74","32.39","94.98","52.29","34.24","52.16","76.8","81.98"
"Carrera, Sabastian","28.36","75.78","31.25","90.22","43.09","54.34","77.48","73.44"
"Her, Angela","98.75","61.57","70.65","67.1","99.64","67.77","68.09","62.67"
"Groover, Ervin","83.42","98.69","49.52","94.74","97.96","80.84","82.32","11.75"
"Jenkins, Devin","46.67","95.92","54.62","67.16","98.68","43.26","59.15","54.14"
"Ramos Gomez, Uriel","79.21","45.83","99.83","78.34","75.26","78.42","21.41","98.43"
"Tolbert, Damion","97.02","2.12","79.08","52.31","37.04","23.04","44.35","58.07"
