"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Ross, Brandyn","95.84","73.66","27.5","36.51","75.3","54.9","90.94","46.06"
"Duncanson, Robert","13.18","61.85","73.82","82.59","30.65","59.96","32.78","79.28"
"Coslett, Joshua","32.16","50.73","79.33","40.28","84.18","75.04","38.45","34.37"
"Ju, Matthew","37.55","60.34","2.22","12.89","73.49","82.4","85.88","85.38"
"Romero, Johanna","94.35","38.28","78.27","36.24","76.5","59.63","37.94","87.41"
"Ortega, Angelica","66.04","51.22","73.4","41.55","97.08","74.87","74.46","47.7"
"Moon, Liny","63.19","84.17","86.12","89.96","17.04","79.12","48.56","58.12"
"Ahmad, John","94.3","57.81","7.04","36.23","79.29","64.22","37.9","32.23"
"Carter, Keishawn","98.23","54.43","94.75","86.68","58.61","36.74","99.41","78.55"
"Anderson, Sonja","49.45","72.1","57.08","96.68","34.79","34.89","35.56","33.79"
"Israel, Bryan","53.31","52.88","58.25","84.55","38.6","79.77","29.39","55.27"
"De La Cruz-Contreras, Patricia","76.37","46.61","70.28","69.76","27.23","75.2","14.64","99.83"
"Parra, Ruby","38.95","45.78","22.54","81.57","8.79","99.95","96.44","60.02"
"Williams, Kiara","42.23","80.86","32.55","69.41","41.8","45.21","94.59","86.04"
"Beckham, Ciera","83.24","15.32","21.24","79.24","77.98","60.69","55.18","80.84"
"Benjamin, Dekese","24.45","99.82","51.83","99.6","61.77","93.2","85.58","52.39"
"Davis, Luke","95.68","78.03","70.6","49.1","72.75","58.44","63.02","78.06"
"Rich, Dylan","63.32","96.7","71.54","54.73","99.65","14.84","72.66","60.65"
"Udom, Alfonzo","46.59","62.84","75.41","92.18","38.4","72.11","13.75","52.75"
"Dixon, Jeffery","37.35","82.93","35.9","92.7","80.08","74.49","57.59","16.65"
"Whitecalf, Spring","19.24","97.67","21.87","62.14","63.46","28.77","66.43","24.64"
"Ongoy, Prem","57.25","18.35","81.79","45.98","48.29","56.99","96.73","49.76"
"Roybal, Andres","60.14","42.12","40.67","47.18","75.57","83.3","78.23","82.41"
"Zapata Armenta, Soraya","81.09","53.94","89.97","85.99","0.78","55.67","55.68","22.41"
"Rodriguez Nazario, Maria","50.41","84.67","64.6","56.76","43","56.93","71.53","75.68"
"Rodriquez, Christopher","98.78","58.86","61.74","79.24","38.16","68.78","99.48","99.33"
"Bolstad, Dylan","32.42","80.12","98.32","61.81","34.23","55.03","43.09","58.93"
"Dejean, Elaine","45.74","94.43","88.37","97.26","90.51","31.95","51.06","35.99"
