"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Richmond, Aaron","72.21","3.98","51.51","74.78","78.62","40.74","63.15","73.99"
"Chapa, Austin","66.47","62.99","99.13","92.97","55.62","57.12","99.48","33.54"
"Powell, Nhi","58.98","78.52","34.31","51.98","69.5","34.91","44.65","61.54"
"Brophy, Joshua","50.73","83.47","83.48","96.22","37.71","37.56","45.79","61.69"
"Benally, Elias","79.54","61.71","97.55","64.33","96.96","79.1","84.18","43.94"
"Tran, Shawn","65.82","66.69","89.83","93.99","69","45.11","39.73","80.96"
"Tsend Ayush, Helena","93.72","31.15","46.03","73.76","64.01","59.46","53.52","41.74"
"Pabalan, Judy","84.82","42.57","67.21","56.92","41.26","56.25","83.25","44.75"
"Allen, Alejandro","25","61.88","51.89","85.26","79.97","82.67","2.38","37.36"
"Luna, Vicente","35.93","99.78","69.5","81.5","38.57","16.7","42.97","65.67"
"Borkowski, Diana","81.72","44.47","45.98","64.18","75.73","23.49","29.94","54.15"
"Sweetwater, Jennifer","61.4","74.58","44.63","85.01","89.22","31.65","68.44","59.81"
"Pettway, La'Ija","86.97","71.87","96.71","85.35","75.21","80.22","95.45","99.99"
"Lee, Shania","72.87","98.89","90.73","50.61","94.27","79.36","73.33","24.82"
"Patel, Priscilla","58.98","93.53","84.48","69.98","39.98","50.35","99.79","16.11"
"Rademacher, Destiny","70.48","96.81","59.93","59.37","30.72","67.39","71.96","48.26"
"Terry Jr, Gabrielle","64.3","80.91","79.85","69.13","33.35","83.19","54.02","30.11"
"Bigbey, Collin","33.61","49.24","24.87","66.86","43.57","53.4","76.04","48.83"
"Duran, Stephania","98.66","41.71","92.71","58.15","50.53","75.42","79.53","60.31"
"Smith, Clayton","78.13","54.61","62.22","99.52","57.13","40.98","57.96","59.95"
"Alvarado, Jose","28.25","97.29","98.82","98.65","58.47","44.41","30.76","75.94"
"Vasquez, Brianna","92.88","26.24","51.85","49.69","93.6","63.85","54.59","77.53"
"Gomez, Hernan","35.48","64.02","79.13","20.22","39.89","81.56","16.49","26.75"
"Tat, Alexander","45.16","34.69","77.68","97.19","77.6","65.52","61","31.15"
"Lawson, Julian","37.91","61.02","63.87","84.13","22.18","33.89","80.44","39.52"
"Blackwater, Kree","55.94","64.81","65.81","54.75","37.01","59.71","97.53","54.23"
"Montoya, Joshua","54.21","57.98","43.16","54.92","84.65","83.71","92.93","52.61"
"Boykin, Najah","74.26","31.73","52.35","24.52","67.64","64.78","97.48","40.86"
"Wilson, Henry","35.85","42.33","50.6","90.17","2.72","42.87","8.55","61.45"
"Armijo, Gerardo","46.36","96.94","32.41","54.22","31.9","81.97","36.35","97.32"
"Barrett, Jacob","82.41","32.17","56.85","44.39","30.07","55.68","87.23","79.12"
"Trinh, Ju-Young","57.37","67.43","31.99","60.49","97.49","27.62","21.28","22.1"
"Sun, Annie","56.7","28.76","98.44","78.37","67","77.64","83.21","44.44"
"Grippin, Carissa","80.8","82.2","12.41","65.47","60.66","46.6","78.47","8.34"
