"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Lozoya Alvarado, Mindy","97.59","80.9","33.79","95.67","35.41","80.74","70.78","3.35"
"Battle, Reine","35.06","63.74","52.68","45.69","38.49","82.45","1.06","39.42"
"Kasperek, Amanda","31.66","47.1","17.56","96.57","58.9","1.21","77.53","80.06"
"Lechuga, Rafael","70.02","99.26","98.28","87.55","88.23","26.99","98.59","36.92"
"Figueroa, Deisy","14.06","74.53","99.21","78.73","29.12","26.78","34.81","52.33"
"Phillip, Deandre","52.54","76.89","81.16","23.33","99.97","58.07","99.07","69.05"
"Fernandez, Devyn","97.33","20.78","85","11.68","43.93","32.35","61","19.53"
"Arce, Arriana","59.13","75.42","18.55","82.9","79.87","82.15","53.37","70.77"
"Mendez, David","63.88","92.57","39.23","98.7","64.74","95.04","96.74","37.47"
"Johnson, Dae'Quan","74.99","87.58","57.94","96","27.41","44.89","76.12","96.81"
"Begay, Denise","77.19","5.7","86.91","38.58","98.3","62.55","57.76","52.94"
"Jones, Aaron","99.31","41.73","72.76","81.73","18.69","78.89","60.13","3.94"
"Hai, Austin","99.1","20.83","37.1","99.09","44","40.2","99.16","88.46"
"Hoang, Alexander","76.74","29.71","40.12","98.38","53.78","52.33","16.01","73.4"
"Ahn, Brittany","53.87","51.85","27.52","42.71","55.05","99.53","19.84","51.95"
"Knowles, E-Shaw","47.26","66.54","52.37","34.55","80.54","56.85","23.38","94.52"
"Gonzales, Jakob","99.49","56.62","31.65","59.03","95.94","89.66","92.69","61.28"
"Mendiola, Jose","50.12","81.48","31.49","42.31","8.14","44.4","69.57","39.11"
"Smith, Duantae","66.29","99.23","57.48","42.41","58.04","33.29","26.35","58.4"
"Hernandez, Skyy","65.47","46.02","48.97","84.22","27.25","74.02","99.54","32.16"
"Lo, Aurora","43.65","58.87","40.85","77.76","51.18","16","43.43","51.65"
"Schenally, Savanna","98.97","79.19","91.63","50.82","77.22","81.31","68.2","97.6"
"Stone, Alexandra","30.91","34.62","48.73","37.88","80.27","53.38","23.85","95.5"
"Reece, Alyssa","42.21","98.15","78.15","62.48","96.76","99.36","34.77","23.34"
"Lucio, Martin","77.17","48.48","96.56","18.2","97.52","49.82","70.23","55.64"
"Buchanan-Hall, Alexandra","53.79","86.74","57.81","63.32","62.01","30.71","91.09","59.73"
"Chou, Chelsea","38.83","77.18","72.54","98.18","78.21","10.73","38.74","81.33"
"Pyos, Adau","83.28","59.38","55.19","22.23","49.67","92.7","32.91","41.99"
"Trujillo, Trevon","41.11","86.93","83.07","52.71","95.28","80.92","83.57","98.33"
"Edwards-Som, Darin","35.52","73.61","78.04","55.31","83.06","37.71","79.69","81.2"
"Ngo, Jonathan","37.17","9.1","80.54","13.6","51.17","23.88","95.5","84.14"
