"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Anguiano, Cortez","78.93","63.3","24.71","37.28","73.02","46.94","26.06","11.62"
"Stone, Bruce","56.58","8.79","94.37","82.72","99.04","81.67","35.33","29.05"
"Smith, Alyssa","80.87","58.31","42.85","32.58","54.03","53.02","46.99","98.42"
"Jones, Kelsey","54.28","47.28","74.12","90.02","59.63","90.08","57.24","24.09"
"Lozada, Sabrina","59.45","30.56","54.8","60.52","54.9","64.56","85.27","79.88"
"Marinelarena Rivero, Ray","45.95","73.75","45.68","51.68","77.19","93.8","75.32","96.06"
"Watkins, Mickias","83.09","81.15","65.99","37.06","99.73","61.08","98.45","73.73"
"Braziel-Horne, Rashawn","46.74","61.42","69.1","25.46","39.18","37.87","5.76","84.29"
"Brown, Anika","78.58","54.03","37.34","73.59","39.79","43.77","34.23","41.8"
"Allen, Chiquithia","58.5","35.72","61.09","79.61","83.64","83.54","99.02","33.19"
"Sanchez, Brandon","99.51","80.77","98.85","65.78","50.12","49.09","59.29","76.37"
"Melendez, Alan","66.86","83.78","49.08","79.39","58.01","81.91","32.37","85.2"
"Li, Melissa","82.74","38.39","76.77","54.95","40.39","87.82","68.04","39.29"
"Keita, Jeffrey","18.31","88.78","3.82","88.12","41.07","79.69","27.08","99.09"
"Ross, D'Angelo","42.14","25.24","20","85.86","62.15","38.91","54.35","95.97"
"Teague, Elysa","39.95","51.38","40.87","99.56","59.41","98.92","57.24","78.66"
"Jamili, Jien","68.34","31.43","61.08","15.16","94.73","84.42","52.6","69.65"
"Driver, Johnny","88.18","26.48","81.47","76.74","60.67","80.48","67.99","33.97"
"King, Dukunde","86.16","42.09","64.79","28.86","97.76","74.93","77.91","76.56"
"Talain, Kevin","51.58","36.38","86.95","29.39","33.7","44.05","88.66","49.97"
"Tran, Huan","57.73","70.77","37.27","85.02","60.21","64.03","65.1","68.09"
"Duran, Tenise","62.58","54.2","72.21","48.72","58.22","79.49","94.45","83.33"
"Gonzalez Banuelos, Selena","29.19","57.69","78.14","14.98","89.88","70.83","48.76","78.23"
"Bercier, Joy","96.53","12.08","89.82","4.04","35.24","82.14","41.22","46.76"
"Vigil, Samantha","54.72","84.8","81.14","19.13","75.86","41.61","74.63","30.53"
"Grove, Koral","27.97","22.4","15.16","57.34","6.42","74.15","77.81","97.1"
