"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Marmaro, Cheyenne","32.1","96.55","87.59","58.58","59.42","35.88","63.75","39.63"
"Smalldon, Eric","35.46","96.88","45.88","27.01","79.46","85.36","68.81","84.4"
"Ton, Richard","34.41","32.97","60.55","53.63","98.79","61.12","40.78","79.89"
"Martinez-Lopez, Yalitza","81.53","80.03","20.39","68.01","87.74","64.77","32.74","49.45"
"Naylon, Cynthia","72.57","62.81","80.05","47.87","50.16","36.1","75.04","94.26"
"Byrd, Christopher","58.91","82.43","24.25","58.76","97.59","94.5","95.67","85.9"
"Orduna-Torres, Judith","99.83","45.42","80.29","82.49","76.51","57.87","9.27","63.24"
"Quintana, Luisana","45.06","41.03","76.06","50.71","79.25","57.89","44.38","52.44"
"Castillo, Alejandro","91.43","95.75","57.32","55.85","14.71","46.88","99.82","44.57"
"Ridley, Chaz","29.55","81.93","86.75","49.29","32.06","79.77","80.36","93.33"
"Jordan, Mikayla","43.65","87.59","8.37","79.49","58.15","54.89","55.98","82.17"
"Ray, Molly","16.05","83.04","43.06","56.12","37.27","80.89","61.86","48.19"
"Shocks, Tierra","51.59","80.75","59.98","95.83","37.4","47.88","34.65","16.58"
"Suh, Rodney","43.87","39.06","61.12","43.1","34.97","98.71","69.57","39.35"
"Vu, Melissa","94.26","86.54","39.52","74.17","56.17","67.27","58.39","31.84"
"Martinez, Jeana","35.4","47.94","38.05","48.69","58.02","68.29","26.42","82.2"
"Hernandez, Stephanie","78.9","78.55","66.21","4.51","36.63","54.29","54.24","38.95"
"Banchongchith, Eric","79.1","97.24","78.9","76.97","91.05","71.77","62.14","68.41"
"Mcculley, Chance","92.56","53.37","96.61","81.12","36.44","78.28","54.82","72.37"
"Ajuaj, Samrawit","29.9","18.46","73.34","68.91","75.17","64.98","77.33","64.4"
"Hill, Brian","84.85","87.51","95.16","39.52","81.22","69.66","29.26","63.67"
"Edwards, Quiara","37.56","52.71","33.14","97.4","49.13","45.98","79.89","97.56"
"Mitchell Gaither, Nicole","48.39","77.63","51.88","37.56","60.71","51.99","85.52","69.35"
"Correamanrique, Nathaniel","85.7","44.69","73.57","45.19","83.11","39.06","43.84","54.73"
"Grzywa, Der","80.05","58.39","58.3","80.43","82.43","86.57","59.21","54.16"
"Cameron, Hypatia","82.59","96.93","48.84","60.7","50.86","7.46","61.47","78.39"
"Quintana, Gabriela","80.7","90.5","98.61","52.48","13","54.05","84.01","97.3"
"Valverde, Zayra","69.79","42.73","83.15","22.65","30.45","73.57","37.59","51.27"
