"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Thomas, Aspen","70.62","42.31","59.67","99.39","97.12","56.43","76.21","79.07"
"Koetsier, Andrew","17.56","47.8","45.94","74.21","97.97","8.12","60.29","99.98"
"Eaton, Bree","32.39","77.7","65.38","42.81","79.64","70.54","53.49","78.33"
"Schaffer, Briana","53.78","94.34","66.32","64.31","47.79","47.6","47.11","59.46"
"Salaz, Leah","75.45","59.53","87.01","79.09","85.48","37.49","71.95","56.44"
"Aguilar Castellanos, Rodolfo","81.46","78.15","25.47","54.44","97.5","45.19","64.13","14.05"
"Barker, Mitchell","69.02","70.37","55.91","36.24","77.23","55.01","15.23","48.63"
"Moran-Hernandez, Tyler","84.46","77.05","95.63","96.5","97.75","84.34","66.06","57.96"
"Ordonez, Tasia","35.64","76.71","77.87","77.29","80.21","82.52","62.71","54.72"
"Victorino, Cody","84.64","57.45","43.77","72.51","43.52","67.52","96.92","65.61"
"Dyson, Carlos","99.1","52.67","46.2","80.2","73.92","80.13","35","31.21"
"Galligan, Adam","12.48","32.83","70.41","77.66","38.31","19.31","95.45","60.34"
"Johnson, Reginald","29.03","64.48","61.56","89.23","82.37","81.4","49.18","50.37"
"Currin, Mai Lien","96.86","34.92","39.19","79.6","84.14","36.83","80.14","53.21"
"Bailado, Benny","8.43","78.26","42.63","76.81","95.93","98.11","12.42","96.75"
"Moua, Yangzi","37.42","80.81","65.97","44.3","69.09","78.53","98.32","64.11"
"Garimella, Bryan","47.99","14.13","68.38","65.73","79.87","43.04","50.87","10.92"
"Fernandez, Enrique","54.45","53.16","23.67","36.91","78.06","68.93","56.99","23.73"
"Williams, Brandon","36.86","92.65","32.85","63.76","96.85","71.35","96.68","76.28"
"Delay, Kara","49.27","84.29","82.28","31.07","98.83","97.32","94.73","42.68"
"Tabler, Ava","59.48","63.85","32.63","94.37","56.12","27.94","86.2","85.62"
"Godoy, Destinee","54.76","38.69","93.99","97.95","40.42","34.29","24.71","82.26"
"Silva, Isaac","72.62","32.36","28.22","25.47","45.34","82.97","32.12","97.31"
"Clift, Alexis","97.74","45.17","77.35","75.73","32.65","63.04","60.15","0.44"
"Wimmer, Sadie","94.37","60.09","91.88","57.56","86.92","77.47","99.43","30.39"
"Thompson, Wallace","82.05","99.49","84.61","92.07","88.9","81.22","43.37","99.9"
"Yeung, Amaihah","77.44","75.05","87.35","99.46","39.35","78.32","80.68","33.24"
"Briseno, Melissa","53.84","80.54","83.3","82.48","28.9","44.58","70.36","98.46"
"Lam, Janet","43.94","96.72","5.61","44.97","45.52","61.03","63.97","41.86"
"Tan, Jacky","90.44","43.55","64.91","88.68","45.32","54.28","70.92","28.11"
"Lohrenz, Kara","62.4","39.13","21.39","48.18","56.74","56.27","60.78","38.65"
"Ellis, Antonio","78.19","93.3","79.96","79.95","83.56","50.6","97.72","80.53"
