"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Farah, Sebastian","78.13","97.69","77.8","73.88","86.58","80.67","51.91","79.36"
"Mclaughlin, Javier","56.21","39.7","57.91","1.29","50.85","99.09","12.22","83.75"
"Swain, Devojane","86.09","82.24","78.92","41.62","45.06","62.39","4.38","38.01"
"Grandmontagne, Alex","35.76","52.33","17.15","57.27","11.8","64.86","31.83","34.5"
"Chavez, Jaquelin","65.01","19.57","56.17","12.23","62.22","19.85","46.16","8.44"
"Curry, Jessica","97.29","62.13","38.61","22.42","39.08","73.9","85.52","32.68"
"Davis, Jante","99.72","57.8","47.24","65.15","73.4","78.68","98.99","77.31"
"Miller, Sarah","64.13","92.41","66.29","16.18","61.76","64.5","85.17","34.52"
"Wollman, Matthew","39.66","75.21","63.55","49.58","80.22","63.63","31.07","82.42"
"Casares, Cesar","42.85","27.75","39.87","65.68","91.48","27.83","62.05","75.27"
"Gast, Jessica","77.83","37.9","24.86","77.28","78.51","68.57","66.16","42.17"
"Montelongo, Anthony","91.12","77.56","35.37","6.29","64.01","66.16","59.36","98.76"
"Sayers, Quanishia","42.33","30.49","65.71","74.42","55.88","60.75","59.59","96.56"
"Norman, Brittany","25.69","52.49","9.84","81.15","18.97","51.69","98.1","77.11"
"Gaitan, Matthew","78.01","96.5","38.36","94.84","55.94","96.56","25.23","82.49"
"Pollard, Mariz","73.65","37.63","75.48","45.76","63.41","94.39","12.08","49.5"
"Pacheco, Francisco","95.17","99.49","45.78","59.32","93.96","42.4","20.99","41.86"
"Robinson, Jayde","62.2","40.12","67.4","53.33","26.77","84.32","71.06","64.32"
"Thomase, Logan","70.73","86.3","41.38","65.23","71.93","87.79","63.16","53.44"
"Atler, Kennia","69.29","35.59","83.08","33.22","63.51","35.57","77.07","74"
"Toliver, Jacobi","37.43","87.09","61.84","48.85","37.34","79.51","37.79","60.04"
"Lopez Romero, Jacob","34.63","38.94","84.45","79.03","64.24","63.87","59.48","62.9"
"Chakravarty, Anthony","67.48","77","75.18","5.05","98.13","95.62","55.2","85.56"
"Bille, Yee","97.54","64.02","76.6","6.28","90.02","59.68","96.74","12.55"
"Lopez, Aerika","36.03","60.18","52.34","99.48","71.5","70.05","64.53","68.72"
"Woodard, Kayla","78.36","32.74","5.28","62.64","50.49","62","57.23","42.8"
"Trujillo, Jose","32.93","51.76","82.97","53.24","32.06","88.19","44.56","67.91"
"Dobbs, Briana","37.06","92.24","61.88","18.16","78.31","59.55","53.18","54.26"
"Morrison, Mathew","65.95","60.56","27.33","6.89","48.17","36.26","77.64","83.68"
"Lie, Ria","82.18","57.49","77.49","61.16","77.32","80.98","20.06","19.44"
"Hoell-Dixon, Toni","34.25","52.06","80.32","34.61","51.89","65.2","58.94","95.4"
"Berg, Felicia","87.24","78.83","99.16","31.77","38.54","95.86","68.74","97.58"
"Villa, Aleea","60.16","64.55","78.47","59.65","19.84","44.95","84.82","39.69"
"Yeung, Musashi","63.36","76.75","42.73","94.35","38.02","34.51","12.75","54.77"
"Conway, Brittany","79.42","46.83","87.14","42.1","62.56","51.54","73.59","60.25"
