"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Lucero, Pedro","38.17","26.21","72.91","59.95","55.99","0.13","84.27","46.32"
"Funkhouser, Alyssa","60.38","60.73","56.34","51","56","79.93","27.76","61.74"
"Thach, Joey","77.57","90.09","94.89","76.03","70.75","75.77","71.69","59.22"
"Owens, Lorraine","78.73","97.25","75.54","43.57","80.91","58.17","45.59","43.37"
"Beck, Tracy","54.15","83.22","51.35","94.54","76.21","88.48","63.38","77.02"
"Cerdenola, Anjellica","96.77","39.16","44.71","77.7","78.55","32.44","75.29","58.61"
"Corral, Matthew","40.58","65.92","95.29","39.58","34.07","76.66","94.79","40.87"
"Mathias, Guillermo","79.96","32.42","23.5","46.19","67.08","69.97","79.53","96.95"
"Noor, Laken","52.5","78.8","99.64","84.44","98.48","75.93","97.8","99.47"
"Dickens, Chelsea","20.46","40.8","17.93","82.25","33.82","77.16","97.7","34.02"
"Huynh, Reid","43.22","34.13","79.13","33.46","58.01","98.74","43.77","44.6"
"Martinez, Dominica","40.48","56.37","7.76","58.12","67.73","68.61","28.51","96.18"
"Mcintosh, Sherman","97.04","47.16","36.52","38.6","63.33","5.61","80.36","21.96"
"Shumock, Auston","72.53","91.25","23.25","48.68","99.52","90.59","64.39","84.48"
"Reece, Jared","98.76","98.76","49.71","28.62","59.9","55.28","79.71","28.8"
"Roe-Miller, Melanie","97.84","44.29","78.27","58.59","90.48","76.13","79.51","38.9"
"Rodrukkwun, Hung","83.01","94.6","77.36","87.4","94.92","98","44.35","81.35"
"Sams, Althea","29.25","31.55","50.27","68.03","38.39","74.61","65.86","97.62"
"Collier, Kaxee","63.01","94.41","22.71","64.81","59.29","44.33","99.61","65.69"
"Phoenix, Kyron","23","96.97","38.47","57.66","57.6","88.9","75.37","83.24"
"Tesfaye, Yosef","68.56","75.41","43.44","63.59","52.53","83.76","97.69","54.06"
"Nunnaley, Khalia","41.62","42.76","73.18","9.17","69.7","78.29","68.38","31.78"
"Hannebaum, Jon Michael","60.63","47.01","59.87","71.68","67.14","57.03","77.65","47.3"
"Fry, Cody","47.43","97.8","78.24","56.67","9","83.85","94.97","54.98"
"Gardner, Sean","84.94","28.71","63.39","0.21","33.43","74.66","97.75","50.8"
"Bowman, Samone","42.07","32.01","45.27","77.61","87.25","99.13","57.92","34.34"
"Milan, Jacqueline","32.19","46.81","98.94","54.33","88.02","83.11","51.26","46.18"
"Lao, Sushmita","38.84","34.59","82.85","52.76","84.35","21.27","37.27","77.1"
"Brody, Cassandra","81.91","20.29","56.88","51.96","44.06","99.97","31.43","29.39"
"Gresham, Marcus","34.92","98.12","19.52","46.29","36.4","27.2","95.23","38.97"
"Padilla, Vanessa","47.75","69.07","58.94","12.02","60.85","38.87","34.1","53.94"
"Olguin, Traivon","69.48","42.4","56.1","69.43","40.3","75.5","97.69","69.9"
"Ramirez, Crystal","35.86","53.31","34.91","70.77","96.23","4.34","98.05","78.02"
