"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Casey, Carissa","51.97","97.07","59.32","23.31","18.99","99.46","27.48","98.94"
"Ramkumar, Stephanie","85.21","96.28","11.51","49.02","45.98","22.82","53.21","21.64"
"Perez, Veronica","6.5","52.87","68.97","67.22","96.06","24.23","99.69","84.67"
"Mclaughlin, Joshua","37.31","76.56","82.89","55.49","30.7","39.38","46.59","97.44"
"Martinez, Victor","57.19","77.61","45.06","80.03","56.77","80.78","61.75","97.27"
"Sniff, Lauren","57.73","39.4","56.94","42.5","23.22","99.45","94.85","31.9"
"Johnson, Te'Kel","94.26","60.97","37.81","84.11","39.32","65.97","88.83","42.42"
"Ramirez, Luis","21.11","28.97","17.5","32.98","62.89","84.66","36.39","61.85"
"Inthavong, Rachel","98.04","79.98","97.94","31.13","96.68","78.44","38.24","55.02"
"Chavez, Simmi","79.48","64.86","19.87","44.92","81.87","78.79","35.08","80.65"
"Maat, Michael","98.63","49.57","50.07","59.82","61.72","97.95","78.53","57.02"
"Craig, Gabriel","61.04","92.17","81.36","47.99","84.87","55.13","58.19","78.66"
"Green, Zachary","37.65","62.32","98.5","54.26","43.01","84.03","80.12","78.24"
"Reid, Jon","87.99","38.74","63.02","73.19","53.58","87.58","57.44","100"
"Ton, Julia","92.39","26.46","25.01","33.45","74.46","60.65","32.88","61.72"
"Reynolds, Marina","40.19","55.18","78.43","27.31","28.39","98.22","81.65","97.06"
"Copeland, Jorge","78.98","77.31","79.13","60.58","71.73","98.32","2.82","95.71"
"Herrera, Tiana","34.05","90.62","40.93","22.69","84.56","80.68","59.05","63.89"
"Smith, Synquiss","99.06","80.31","74.65","31.9","21.19","33.06","75.21","50.97"
"Shafi, Jamar","82.02","99.24","44.24","95.76","77.24","46.14","43.28","78.4"
"Suarez-Aragon, Nicholas","67.43","21.08","78.86","57.75","71.14","46.16","43.51","74.48"
"Thomas, Michael","23.22","44.13","12.79","30.31","55.96","59.15","69.57","56.99"
"Reynolds, Darian","42.59","61.22","53.53","35.49","11.19","70.98","25.05","85.56"
"Latham, Lucas","63.96","74.76","96.81","56.64","83.68","97.65","78.12","69.28"
"Garvin, Keandre","81.25","46.62","35.87","99.18","40.15","57.53","71.37","59.92"
"Connolley, Carlos","97.72","56.19","31.41","96.88","11.09","82.14","28.19","54.63"
