"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Richy, Joey","33.63","44.58","47.27","44.36","59.01","28.12","28.95","40.14"
"Mcintyre, Nico","45.93","79.97","34.55","98.1","51.71","19.7","97.71","81.99"
"Williams, Uniquial","75.65","24.54","42.1","20.83","92.96","85.13","40.83","75.2"
"Havlik, Nicole","85.52","45.11","63.11","8.1","39.94","57.42","53.89","30.24"
"Arechiga, Ella","76.02","32.22","52.64","61.2","13.92","43.67","63.13","82.36"
"Davis, Christina","23.89","47.28","68.42","97.14","63.66","3.8","58.37","52.66"
"Crooks, Molly","25.05","95.7","49.16","60.65","15.87","59.45","87.81","31.97"
"Dunn, Austin","64.89","55.05","84.5","98.91","40.21","36.95","46.24","52.01"
"Castaneda, Rodney","24.76","83.86","55.1","67.49","58.47","74.55","54.63","57.5"
"Torres, Todd","36.81","52.45","59.6","41.65","51.36","57.93","41.68","85.27"
"Manton, Duke","71.09","60.88","98.88","68.9","72.91","78.09","95.15","64.09"
"Schantzen, Abren","25","31.84","96.87","80.96","76.6","14.86","71.23","69.12"
"Vincent, Bailey","17.47","99.06","41.46","88.8","60.16","93.84","78.07","45.09"
"Urioste, Gabriela","83.12","53.59","36.28","41.49","32.03","79.58","52.76","68.37"
"Calder, Deion","82","70.11","29.1","32.41","60.11","38.43","66.39","32.68"
"Lungu, Te'Aisha","57.95","37.35","91.02","76.83","49.32","58.94","41.31","99.83"
"Duong, Savio","26.65","45.46","53.75","58.1","40.47","33.1","12.77","97.3"
"Alexander, David","99.88","51.65","37.9","50.98","79.66","39.43","62.89","88.48"
"Naranjo, Carly","84.96","20.62","57.47","40.81","52.54","94.49","23.35","97.02"
"Baralla, Javier","62.19","97.68","93.09","80.33","0.3","53.6","97.94","39.42"
"Macrae, Nelson","97.62","50.54","58.1","63.02","30.83","50.19","40.52","49.4"
"Mendez, Jaime","95.86","49.46","28.51","4.63","37.26","86.06","79.65","1.02"
"Asmarzadeh, Avery","86.22","83.58","59.83","72.11","82.39","65.6","54.74","64.89"
"Carbajal, Ricardo","80.68","99.03","68.27","77.73","51.04","84.03","40.41","39.52"
"Montoya, Vanessa","73.9","81.82","37.08","85.84","19.76","51.52","88.63","96.24"
"Arrates, Sidney","94.34","9.48","54.02","72.04","93.6","69.54","99.07","93.02"
