"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Asakawa, Nino Alfonso","49.77","94.9","75.75","68.94","53.52","48.39","41.63","95.86"
"Cruz, Cam","39.46","77.57","46.34","94.5","99.43","69.51","43.61","50.48"
"Riley, Lakeyia","36.91","79.2","39.7","99.36","36.45","97.6","62.39","72.87"
"Johnson, Manuelito","96.29","68.23","31.21","95.07","76.91","41.28","71.28","46.29"
"O'Cana, Cheyenne","81.11","72.67","59.81","9.6","40.86","19.12","84.09","31.15"
"Ross, Ivan","42.83","85.82","95.44","62.59","81.29","68.94","77.47","63.17"
"Kinlicheene, James","28.67","11.94","40.31","95.86","83.68","25.39","61.26","34.49"
"Butler, Taylor","56.45","21.99","72.38","88.03","64.43","61.28","66.34","30.97"
"Porambo, Trusten","56.91","97.97","3.17","77.17","81.6","56.12","17.14","52.12"
"Umberger, Hannah","16.08","9.27","94.41","93.06","58.92","39.14","78.71","40.33"
"Dam, Daphine","17.8","83.08","82.42","56.12","59.88","69.07","98.71","69.01"
"Orona, Derek","79.86","80.38","99.02","84.53","38.14","56.41","67.91","44.82"
"Outhouse, Sunsiarae","85.89","24.59","73.59","35.14","8.91","15.5","57.03","78.83"
"Soto, Oliverto","58.21","95.2","90.74","76.65","62.06","35.06","49.9","58.03"
"Shafi, Aaron","1.6","50.18","46.7","78.21","82.77","79.66","78.39","95.36"
"Martinez, Jovanny","34.81","52.56","24.19","39.33","76.19","55.12","68.36","75.5"
"Gutierrez, Shai","21.79","26.64","54","15.48","53.19","67.31","67.04","85.6"
"Baker, Sierra","47.25","63.33","24.08","18.27","79.48","24.08","32.37","81.87"
"Sandoval, Yajayra","75.3","37.86","98.48","75.49","50.43","96.26","85.82","56.85"
"Siu, Prakhar","41.59","38.01","29.44","29.25","28.89","82.81","71.89","84.96"
"Jones, Myron","47.06","75.4","25.41","24.47","63.83","66","0.48","84.96"
"Lee, Kenny","54.74","63.86","31.66","77.9","63.23","98.8","58.24","78.9"
"Saintjour, Janishka","85.3","85.7","40.67","41.34","63.11","67.31","45.05","49.38"
"Garcia, Rafael","96.92","81.97","30.48","45.76","40.13","10.42","35.25","12.09"
"Lamas, Stephanie","84.23","82.61","5.51","70.68","41.22","76.33","49.76","51.37"
"Aguirre, Brian","36.28","24.99","97.45","24.73","45.19","85.36","9.47","51.9"
"Williams, Tiana","77.26","96.54","51.14","99.3","32","80.94","10.19","32.67"
"Thomas, Amanda","73.79","78.16","51.28","44.95","97.31","95.13","81.92","95.49"
"Morales, Malachi","79.6","44.27","36.67","97.61","38.91","61.61","39.95","18.42"
"Duplantier, Day-Vion","20.85","42.18","43.07","33.79","39.51","36.1","93.27","93.21"
"Badhesha, Michael","77.82","59.7","61.99","98.17","48.24","32.31","35.6","75.47"
"Roberts, Madison","95.69","33.37","49.81","75.42","6.6","79.68","30.18","94.53"
