"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Medina, Selina","53.9","64.35","67.61","2.9","58.83","63.2","24.21","99.46"
"Opoku, Vicki","95.91","17.28","94.96","90.41","50.18","60.48","47.34","81.22"
"Rosenburg-Green, Madison","28.69","40.01","64.36","28","45.48","88.35","64.69","29.45"
"Muncher, Andi","76.89","98.54","21.86","96.66","99.07","40.24","96.76","23.64"
"Griffeth, Melania","9.88","78.77","80.94","98.19","55.29","72.11","19.29","87.17"
"Fleischli, Kaitlyn","87.92","97.81","32.95","75.6","73.78","39.15","87.31","80.77"
"Culberson, Larry","97.6","8.15","94.57","97.18","37.31","44.26","77.69","86.85"
"Zheng, Deanna","99.22","97.27","21.39","51.84","38.17","86.6","63","83.52"
"Troncoso, Luiz","67.34","86.94","15.99","54.63","33.71","56.71","16.13","76.83"
"Barris, Skyler","47.17","43.41","34.98","57.31","78.45","28.45","29.67","80.74"
"Martinez, Christina","54.69","67.17","96.72","86.71","83.63","86.5","62.87","69.62"
"Rauda-Chavez, Bruno","66.22","98.21","84.45","84.35","61.26","81.19","48.9","74.1"
"Curtis, Sandi","55.41","53.14","12.08","62.7","73.74","97.1","28.54","28.52"
"Khan, Andrew","47.42","66.09","67.71","57.1","54.01","96.56","55.02","93.97"
"Kalin, Bryan","7.23","80.21","29.01","54.79","14.81","34.99","18.84","30.8"
"Warren, Katelyn","12.26","97.27","82.49","80.52","65.52","63.06","49.25","41"
"Lucero, Michael","49.49","72.55","26.5","80.79","61.95","82.87","26.98","51.59"
"Vega, Christopher","33.64","53.17","77.72","75.62","61.96","97.03","42.82","60.78"
"Wentz, Natalie","98.46","70.83","16.41","61.64","84.03","34.57","87.08","46.3"
"Galindo, Jonathon","59.65","25.04","41.1","73.91","25.48","71.77","59.82","54.76"
"Cornish, Jasmine","76.93","95.26","41.92","41.55","50.61","87.96","13.64","85.24"
"Huston, William","93.35","98.5","63.98","35.88","33.73","43.26","90.92","62.51"
"Runyan, Ruby","31.08","82.62","78.53","99.29","64.29","67.76","58.14","49.33"
"Bancroft, Jill","45.86","42.45","95.32","65.33","98.19","83.75","73.17","56.58"
"Alarcon, Arnulfo","89.56","44.5","95.34","33.87","82.64","29.32","23.55","84.42"
"Talmage, Ellie","60.82","78.52","25.76","44.45","76.81","83.35","28.35","80.7"
"Darity, Jayda","46.46","99.11","55.41","81.73","85.85","32.1","91.85","99.87"
"Solis, Jaden","98.06","46.2","66.78","74.76","78.6","79.05","8.64","62.48"
"Villagran, Omar","79.43","48.39","48.33","84.52","75.65","78.23","85.63","59.35"
"Knight, Amanda","78.51","36.31","27.1","76.91","50.05","33.83","98.45","80.59"
"Lee, Trang","32.22","49.85","62.28","89.16","72.68","21.93","72.99","82.94"
"Medina, Beatriz","22.02","63.54","66.95","81.9","54.38","76.24","13.95","42.23"
