"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Elan, Adam","29.34","57.74","81.39","31.57","38.88","83.35","95.67","96.81"
"Borom, Mohamed","26.03","61.82","80.28","63.22","98.72","40.32","77.46","49.61"
"Kim, Jasmine","33.41","61.75","94.36","99.78","32.37","37.2","22.81","50.82"
"Cung, Ankhtuja","54.97","55.24","70.34","41.4","64.7","66.54","37.02","82.58"
"Marks, Tahma","34.41","98.95","77.13","80.38","67.19","81.21","23.86","92.28"
"Prince, Nicholas","7.35","72.85","48.08","78.97","86.4","14.73","65.26","77.9"
"Lott, Samuel","58.03","64.48","81.81","95.07","84.36","89.46","50.6","67.37"
"Borges, Gabriela","51.51","50.96","25.98","66.35","75.26","44.84","84.69","80.71"
"Testerman, Brenden","44.95","38.67","39.52","47.19","42.22","42.05","54.08","94.61"
"Bekele, Trevon","68.04","49.44","46.07","33.55","23.37","99.73","38.08","23.41"
"Campos, Hersaim","33.41","30.21","13.39","97.15","22.35","96.27","76.59","77.83"
"Nathaniel, Quincy","37.24","16.75","20.53","81.45","78.13","97.28","49.89","19.47"
"Sanders, Kason","67.72","84.57","86.37","17.25","57.75","52.75","75.87","55.84"
"Hubbard, Edwin","99.19","88.47","79.27","98.1","43.79","20.99","82.95","72.04"
"Gee, Semhal","56.54","34.7","25.98","46.55","74.23","16.8","65.69","51.33"
"Pacheco, Victoria","37.39","99.55","55.21","57.57","63.43","96.15","34.27","51.13"
"Nguyen, Luke","53.51","46.31","50.4","29.66","96.86","22.5","40.56","49.54"
"Arredondo, Erick","37.33","34.81","40.53","81.89","41.17","34.85","77.96","30.6"
"Maestas, Travis","42.52","97.51","61.2","61.11","66.91","93.74","40.16","50.51"
"Russell, Johnny","44.05","31.39","56.41","57.83","31.85","74.3","97.94","37.72"
"Hendricks, Salina","54.03","37.63","95.55","15.84","16.85","75.47","26.8","94.16"
"Rodriguez, Aiyana","85.66","44.11","47.26","28.5","44.58","67.01","60.99","44.85"
"Gardner, Katherine","96.06","14.93","85.72","36.02","97.44","62.03","99.87","46.27"
"Melendez, Juan","60.52","48.31","81.5","72.4","67.62","76.01","41.02","58.87"
"Heo, Matthew","26.45","53.25","17.56","87.77","89.17","36.48","1.61","43.3"
"Madera, Jesus","96.89","99.87","96.62","61.94","51.9","64.97","53.76","18.87"
