"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Faleatua, Anh","28.24","65.57","24.17","98.82","51.84","59.22","36.24","82.69"
"Cone, Talon","76.94","75.18","84.55","36.74","74.27","63.12","12.33","61.3"
"Pena, Eduardo","62.93","27.81","51.4","78.74","52.01","83.64","7.05","63.06"
"Wallace, Tristan","82.58","3.3","63.78","4.6","58.54","95.96","79.5","63.44"
"Meltzer, Tabatha","31.12","66.16","39.94","54.28","41.13","32.3","40.93","32.31"
"Le, Hannah","62.12","77.32","64.52","16.37","97.05","47.26","52.99","20.12"
"Lee, Kiara","41.72","56.39","37.31","97.56","97.24","42.84","33.29","44.82"
"Hishinuma, Adhitya","64.89","54.93","80.37","83.91","98.57","76.28","74.98","14.74"
"Aviado, Sierra","71.87","51.99","47.41","27.06","33.93","32.5","50.89","51.05"
"Whitehead, Jacarre","97.95","83.78","81.19","99.49","83.77","76.55","82.35","72.67"
"Lee, Melinda","18.67","90.54","72.27","72.88","35.18","12.2","41.5","26.03"
"Wilson, Vanessa","89.65","21.73","50.09","46.47","80.69","45.23","28.93","55.08"
"Bauchat, Karina","51.13","20.54","83.49","56.46","62.33","85.62","71.6","47.47"
"Webb, Breland","62.56","77.6","74.67","77.08","57.81","58.24","75.43","78.35"
"Nguyen, Bailey","21.43","55.95","34.16","79.03","64.97","25.49","86.24","58.23"
"Lemus Servin, Travis","81.07","31.41","96.53","90.84","95.28","77.34","26.94","94.29"
"Ho, Dora","74.58","66.73","85.18","76.38","56.42","82.46","30.55","62.62"
"Macaranas, Christina","57.23","91.11","34.92","41.82","63.04","50.44","62.48","78.44"
"Oney, Robert","94.08","77.7","76.72","21.23","74.46","98.65","31.67","79.01"
"Yang, Erin","34.95","57.44","94.13","98.45","46.57","48.39","77.87","47.68"
"Tucker, Essiance","59.56","42.07","99.33","97.25","61.81","45.99","68.59","75"
"Martinez, Luis","74.39","78.66","68.03","84.96","65.12","22.34","56.17","77.02"
"Johannsen, Stephen","40.73","98.34","25.4","32.12","6.35","49.7","54.37","81.59"
"Bennett, Ashley","50.61","42.92","96.74","32.52","79.59","52.32","91.91","84.82"
"Penry, Aline","76.93","30.34","82.76","50.16","57.06","32.73","80.01","79.98"
"Enriquez, Ma. Matilde","98.59","14.12","40.95","95.06","95.22","74.67","28.66","53.5"
"Van Horn, Sara","12.34","55.06","33.53","40.68","35.48","22.52","77.58","75.89"
"Pham, Gaochazhong","90.49","20.52","98.81","73.93","80.09","81.64","80.6","65.03"
"Ellett, Cassidy","65.74","89.37","61.53","98.86","21.81","63.89","97.32","60.56"
"Herrick, Dominic","97.24","28.78","56.06","83.24","75.28","34.31","53.79","43.78"
"Morris, Jordan","42.69","31.2","33.55","41.24","26.71","58.85","99.58","66.13"
"Wolfersberger, Earl","60.56","40.54","68.18","65.86","55.28","74.1","38.16","7.89"
"Gonzalez-Carrazco, Taylor","33.49","96.7","97.82","48.18","42.78","54.07","58.63","59.16"
"Johnson, Dvon","83.31","54.24","50.37","47.71","99.87","55.07","79.68","94.71"
"Ferrelli, Nathaniel","66.99","89.97","65.93","47.08","82.72","60.22","58.45","42.73"
