"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Terrones Deleon, Alejandro","83.95","55.18","95.73","98.82","14.03","66.38","88.03","92.92"
"Duncan, Priyanka","64.08","95.89","93.73","15.09","46.07","14.76","47.97","20.37"
"Amarbayasgalan, Kelly","53.43","50.16","22.99","79.88","66.5","23.28","82.76","31.61"
"Torres Ortega, Fabian","94.95","31.09","31.33","15.14","31.64","78.22","25.66","77.22"
"Jones, Tia","80.86","85.81","71.78","63.87","73.28","76.59","64.26","88.71"
"Ruelas, Isaac","83.17","98.78","68.84","87.55","82.43","59.85","78.57","56.81"
"Arguello, Jesse","51.42","83.58","77.35","73.83","58.03","98.08","98.99","45.68"
"Mang, Allyson","25.63","48.48","74.68","50.71","57.89","26.13","72.21","71.99"
"Torrey, Briana","25.55","60.08","68.8","77.11","25.4","77.68","61.9","42.56"
"Senz, Vidya","32.03","34.99","73.67","99.68","82.56","36.35","67.63","71.34"
"Kim, Saoli","36.94","34.38","95.97","41","48.91","61.31","41.32","99.08"
"Das, Kirche","47.95","97.14","48.57","54.7","30.34","97.37","73.19","75.57"
"Butler, Jomo","56.73","44.67","78.33","95.92","35.21","64.69","81.48","82.31"
"Lamb, Jeremiah","93.07","66.27","98.3","84.05","64.56","22.97","15.96","12.82"
"Dirks, Casie","88.56","32.69","35.09","31.62","53.53","54","14.56","58.09"
"Mccafferty, Keegan","53.69","42.33","31.36","46.77","90.75","24.95","81.89","35.67"
"Duong, Anna","77.02","83.89","24.84","57.86","99.02","51.63","41.38","98.51"
"Bortolutti, Roshni","82.85","34.99","90.84","52.88","64.64","78.14","74.42","85.81"
"Moll, Dalton","21.62","64.96","77.16","65.06","57.15","98.14","35.76","83.69"
"Luna, Joey","30.2","99.28","82.48","58.22","46.16","49.58","92.4","58.41"
"Lesley, Taylor","77.84","60.96","96.38","73.45","80.82","77.16","78.95","65.73"
"Alferez-Perez, Bernard","0.6","99.15","53.86","33.29","69.6","98.85","73.26","43.92"
"Essad, Kensue","47.76","70.56","82.95","79.78","35.78","14.9","6.29","98.04"
"Whittiker, Salena","65.76","62.84","77.8","14.96","16.5","76.93","92.3","45.26"
"Bustamante, Liliana","73.52","63.16","57.04","16.12","3.52","26.77","63.31","50.52"
"Nguyen, Christian","99.19","25.01","21.5","74.72","42.34","22.38","49.28","97.29"
"Munoz, Mireya","75.57","95.51","32.66","39.02","26.27","65.2","79.01","91.84"
