"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Garcia, Adam","18.09","89.54","71.23","85.74","35.09","81.39","81.87","60.12"
"Russell, Fisayo","75.82","80.55","66.5","99.94","48.29","67.77","74.4","85.64"
"Gashwazra, Julia","47.37","71.6","78.39","72.3","60.93","47.72","55.56","53.11"
"Villarreal, Lawrence","46.31","98.43","97.79","77.15","7.44","97.15","90.18","22.66"
"Gonzalez, Tyler","30.48","84.11","51.87","78.04","41.87","57.97","55.62","26.15"
"Klaasen, Vy","58.39","56.96","34.6","55.28","84.67","71.09","50.78","95.99"
"Sipes, Chanler","44.86","71.18","28.9","96.32","60.3","54.56","53.28","98.54"
"Salaiz, Saul","82.85","63.7","95.32","97.73","10.28","81.62","84.3","41.91"
"Rivers, Deandre","16.16","99.72","74.98","59.34","80.13","29.56","32.96","73.34"
"Lamirato III, Taylor","59.63","69.75","48.92","80.41","8.7","75.87","92.39","74.77"
"Le, Shem","30.22","9.17","94.3","82.81","7.72","88.24","72.52","61.55"
"Brooks, Elijah","53.88","53.57","9.16","24.72","61.95","43.41","52.86","35.58"
"Mize, Kylie","98.22","33.07","86.93","21.81","53.84","35.8","45.39","96.35"
"Bueno Berumen, Joshua","27.93","29.44","75.55","39.63","58.91","42.54","39.28","80.21"
"Gardner, Anna","42.71","33.02","63.93","54.76","52.02","69.1","49.37","65.55"
"Lo, Holden","42.22","99.35","50.78","67.01","96.85","39.04","93.45","60.54"
"Garcia-Chavez, Fernando","80.09","18.01","58.46","66.22","29.65","77.17","44.67","82.7"
"Collins, Thuanh","32.49","78.43","61.94","96.95","61.13","98.59","38.65","63.84"
"Delille, Patrick","59.34","62.32","4.54","43.6","50.44","74.69","64.01","79.28"
"Malabanan, Dave","40.25","98.17","96.4","83.2","57.38","79.97","86.57","83.6"
"Hollins, Richard","49.59","39.26","83.49","81.17","45.54","51.23","80.96","76.67"
"Forbess, Nicole","18.77","56.25","64.17","74.98","83.57","91.08","99.41","55.76"
"Coronel, Juan","95.1","73.22","5.84","62.48","98.49","55.05","58.09","53.86"
"Lang, Luke","81.66","76.13","26.49","82.43","45.09","73.76","62.55","97.72"
"Molina, Lourdes","52.96","79.74","82.36","80.86","83.27","45.25","4.38","60.08"
