"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Hill, Kathrine","56.15","45.42","32.2","38.35","23.31","9.13","61.13","51.09"
"Aguilar, Marisela","59.2","37.25","6.93","71.17","55.04","98.97","60.25","55.96"
"Medina, Hector","73.9","47.55","96.55","74.57","16.77","32.19","32.86","69.34"
"Vigil, Odyssey","56.94","4.57","40.03","10.56","81.5","65.27","97.44","41.21"
"Xie, Eleanor","33.68","57.43","55.96","44.01","80.78","45.19","63.85","55.72"
"Jacobs, Raymond","64.91","57.02","77.8","49.45","97.18","48.71","63.65","3.37"
"Baldino, Farrell","28.17","59.43","53.8","67.2","57.28","49.07","21.42","59.78"
"Bao, Harry","95.82","81.03","69.13","84.09","77.04","73.22","26.22","36.34"
"Elahi, Devaraj","80.67","55.07","58.79","98.05","96.96","44.06","4.27","54.6"
"Moon, Jay","84.02","18.97","33.83","28.62","78.12","80.06","66.26","79.03"
"Webb, Vincent","99.92","64.3","79.69","27","98.42","21.06","83.59","19.64"
"Gultom, Min","37.24","64.18","58.67","86.01","31.66","47.11","54.01","96.07"
"Ferguson, Lacie","81.88","82.23","52.03","79.93","68.45","82.9","16.92","64.28"
"Aguilar Natividad, Frankie","42.69","29.7","72.69","14.5","36.39","77.05","81.27","56.39"
"North, Audrey","86.2","73.93","72.32","34.62","78.07","64.75","80.27","79.2"
"Surghani, Rachel","63.96","99.51","82.53","43.03","25.98","99.3","80.05","58.6"
"Cooper, Tyesha","97.58","36.54","99.06","38.96","23.93","61.34","95.3","88.07"
"Santiago, Gienry","95.61","8.1","93.83","99.83","56.85","58.24","33.5","71.07"
"Odom Jr, Terrance","48.39","56.63","65.47","78.95","57.38","51.59","96","78.93"
"Sayavong, Carlo Ceazar","77.01","97.33","61.4","61.14","74.44","44.08","65.51","91.57"
"Rogers, Kolby","56.11","81.54","44.46","42.97","42.4","83.45","81.97","98.87"
"Bohlen, Adrianna","38.31","54.15","30.41","60.51","18.16","31.05","52.21","95.57"
"Kong, Tin","81.09","62.76","45.41","46.05","17.74","97.12","60.84","71.9"
"Shoeboot, Suzy","52.1","94.99","50.02","83.26","64.5","48.24","38.84","95.02"
"Yi, Alexander","2.6","66.41","55.85","60.73","3.74","29.7","58.42","99.5"
"Marceleno Scheibeler, Sergio","39.2","70.42","38.62","25.2","52.09","26.13","22.01","62.34"
"Zamora-Villalba, Kayla","96.59","40.04","58.68","63.07","97.02","80.08","60.82","72.73"
"Price, Paulina","49.28","50.81","64.73","41.84","97.72","73.31","78.9","96.76"
"Inouye, Kazuo","61.13","21.11","99.85","58.1","54.81","69.97","72.44","81.42"
