"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Nikhomvan, Maihao","34.28","78.34","38.73","58.1","78.58","82.89","38.36","52.31"
"Vargas, Jessica","98.45","56.13","59.93","58.02","34.09","83.71","61.37","17.36"
"Wiedmaier, Nidesh","86.07","46.94","83.23","61.1","38.97","29.24","8.39","88.23"
"Stormer Jr, Kyle","81.85","16.93","47.4","44.86","97.16","60.52","51.96","54.48"
"Fuller, Javail","25.28","54.76","99.47","62.55","54.46","53.51","24.88","41.95"
"Hall, Parker","31.34","64.08","83.45","4.93","63.43","85.14","47.74","71.88"
"Ross, Laniece","17.92","39.82","78.81","85.87","38.11","99.16","54.37","42.66"
"Hughes, Simeon","98.29","33.71","51.2","49.4","26.07","51.32","13.84","84.19"
"Williamson-Lee, Vishal","97.34","66.06","48.06","82.61","75.26","65.09","79.02","52.89"
"Brown, Brianna","78.77","94.94","33.62","71.69","84.42","70.53","54.8","57.15"
"Chapman, Aleczander","57.99","33.95","59.82","99.42","68.34","86.43","87.5","11.49"
"Canty, Jacovian","81.84","76.88","50.56","73.52","25.89","42.37","79.93","97.36"
"Chi, Faith","99.62","34.22","53.67","98.54","34.14","40.19","78.41","79.37"
"Irwin, Michael","2.7","75.43","30.29","99.24","15.61","71.79","87","52.55"
"Williams, Samantha","66.94","36.68","99.86","86.21","43.75","95.54","92.17","63.33"
"Egan Jr, Michael","49.19","82.41","85.46","65.97","80.81","93.99","71.25","47.24"
"Dunlap, Alysha","80.35","53.18","47.21","72.95","85.95","29.97","98.3","84.43"
"Roberts, Devon","33.23","63.17","93.23","13.92","99.98","54.73","55.17","56.26"
"Vasquez, Jasmine","85.88","81.95","90.21","99.07","79.37","67.27","52.78","86.07"
"Manigold, Tiffany","63.02","98.96","38.75","77.92","66.26","78.54","0.91","31.25"
"Mcdonald, Tyce","58.2","55.01","42.04","73.79","30.33","98.8","41.16","99.48"
"Garcia, Brady","32.68","15.78","76.33","30.94","68.42","80.31","35.04","51.52"
"Rison, Lindy","52.19","57.97","97.3","55.22","80.45","78.85","41.24","59.16"
"Brown, Nevin","51.02","97.69","93.97","91.96","77.32","23.15","34.89","68.21"
"Left Hand Bull, Zachary","80.04","75","69.93","84.25","67.71","97.35","61.81","66.31"
"Arrates, Madeleine","73.78","13.66","85.34","29.94","48.02","79.2","56.69","44.08"
"Martinez, Ashley","93.2","28.75","46.96","51.92","79.26","53.71","48.35","49.86"
