"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Robertson, Christopher","81","40.87","71.38","59.45","62.57","96.91","79.69","89.03"
"Robele, Robert","48.67","29.19","98.77","16.67","20.7","29.08","61.34","57.66"
"Cross, Anita","93.8","34.14","54.34","80.22","1.9","49.65","59.32","49.01"
"Mclellan, Austin","31.97","24.06","52.31","66.67","96.5","22.6","30.36","66.58"
"Lee, Corey","24.98","93.67","60.21","59.26","94.14","58.83","73.22","98.61"
"Buice, Jonaiyah","99.82","65.34","30.02","49.81","65.86","54.42","43.45","85.03"
"Bullock, Brittiny","11.96","65.42","66.45","82.05","82.09","24.22","53.79","78.58"
"Kim, Hiroki","77.19","33.55","84.7","5.89","43.92","7.92","14.92","54.68"
"Ford, Janna","81.11","81.83","44.63","88.54","57.64","32.88","29.93","59.23"
"Morales, Kristen","80.49","13.23","63.87","76.49","55.31","36.53","98.25","73.67"
"Salazar, Iesha","6.43","81.28","51.59","84.33","50.2","27.84","29.18","80.98"
"Cole, Tayteon","87.46","22.26","78.67","78.5","66.6","54.86","57.69","20.03"
"Garner, Christopher","97.09","56.1","49.66","78.98","78.45","75.8","97.68","56.94"
"Pradhan, Jessica","74.68","55.44","98.1","52.33","40.88","81.74","56.04","60.98"
"Chukkapalli, Keiko","60.27","85.79","49.1","35.76","50.67","79.74","79.67","44.9"
"Hallenbeck, Erin","58.18","26.76","93.91","96.38","39.1","65.79","69.71","62.59"
"Xiong, Priyanka","83.66","99.29","67.94","45.1","51.97","62.03","28.91","79.36"
"Canales, Nicholas","70.27","59.23","51.42","65.41","73.59","40.69","78.14","84.49"
"Thompson, Maquaja","83.11","64.52","45.68","27.17","67.55","77.71","83.52","85.84"
"Shumpert, Jaylynn","36.69","42.07","44.18","39.24","78.29","92.23","35.75","47.63"
"Begay, Maurice","63.7","60.67","18.38","77.58","55.91","34.98","56.08","98.69"
"Kim, Yuvann","17.92","59.93","51.81","59.62","36.22","68.65","55.61","50.12"
"Clark, Shiema","88.08","36.69","57.34","94.23","78.46","74.77","74.65","48.75"
"Joe, Royal","97.15","36.33","21.88","81.39","85.09","1.52","74.03","89.15"
"Pearson, Percy","78.32","49.19","52.73","99.07","64.44","75.96","62.43","30.12"
"Khoshnam, Nicholas","70.84","87.1","79.6","37.69","43.62","16.96","64.26","72.33"
"Thurmes, Chad","84.28","61.67","71.92","55.61","99.24","56.44","57.26","77.56"
"Caine, Rueben","57.42","54.68","35.33","56.42","95.34","96.93","77.91","71.21"
"Johnson, Jodi","27.38","61.6","43.98","95.68","96.35","73.46","72.08","16.25"
"Dorrance, Kevin","36.3","76.48","57.55","50.53","96.64","41.33","98.97","60.47"
"Senethong, Alexandria","20.84","27.15","21.3","97.6","64.1","29.24","37.92","38.33"
"Disney, Devika","29.23","81.6","96.9","45.67","44.68","36.2","53.18","93.87"
"Mchugh, Anya","83.06","94.12","49.27","55.08","72.82","52.35","23.62","71.53"
"Gussenbauer, Thomas","57.07","66.6","16.7","44.67","29.79","72.26","76.17","49.07"
