"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Shrestha, Shawn","82.75","85.78","77.21","56.2","57.64","67.17","77.67","76.32"
"Manley, Kevin","36.87","46.46","76.1","34.85","11.08","2.29","66.2","40.01"
"Zhang, Lisa","67.53","97.2","75.09","98.67","41.66","39.25","85.87","16.31"
"Sexton, Diep","53.22","59.28","99.79","66.52","45.48","82.01","95.08","60.21"
"Moore, Robyn","39.5","72.75","90.63","49.89","27.54","42.23","65.28","80.37"
"Germeroth, Isabella","61.36","64.33","84.61","20.5","34.28","80.27","23.44","80.96"
"Green, Laura","43.75","68.17","76.24","99.16","99.74","99.07","71.51","66.39"
"Johns, Maya","99.14","60.4","98.05","38.59","18.39","27.06","35.66","29.88"
"Pollard, Pierre","99.42","43.74","83.9","24.85","78.96","55.62","41.99","73.21"
"Le, Karen","67.06","38.92","62.38","99.46","33","81.29","15.44","49.13"
"Lefholz, Alyssa","28.59","18.6","60.57","52.28","87.74","69.26","40.27","57.27"
"Edwards, Jordan","99.77","21.91","41.99","61.15","80.22","86.62","48.49","82.56"
"Wells, Logan","52.7","95.03","24.51","34.15","60.43","12.91","99.21","57.54"
"Laloge, Daniel","75.13","24.39","73.85","36.46","40.81","11.57","83.53","23.15"
"Fonseca, O'Brien","75.08","84.91","76.86","98.99","59","37.63","59.36","52.13"
"Turner, Tyler","45.89","57.35","33.57","42.85","29.14","57.6","44.79","49.87"
"Lehnhausen, Grace","49.69","12.83","98.07","98.61","81.94","80.03","44.84","98.04"
"Garcia, Daniela","39.99","61.52","92.41","96.27","10.32","57.46","0.76","63.95"
"Jiple, Christian","24.21","95.78","63.14","80","94.86","81.81","82.08","95.27"
"Montoya, Aurelia","77.11","81.61","62.95","0.06","66.16","81.28","4.78","36.13"
"Lopez, Jerrad","27.43","97.01","65.72","85.38","54.62","59.96","36.36","49.24"
"Wahlgren, Jimmy","17.84","77","83.67","98.56","36.5","37.76","16.05","83.75"
"Kiger, Fue","61.34","71.42","93.43","23.29","79.76","92.87","72.31","46.97"
"Hagiwara, Sozan","44.77","55.39","50.51","10.93","49.05","62.43","95.69","50.6"
"Alvarez, Kevin","30.45","82.47","67.95","55.18","70.58","73.53","22.26","35.91"
"Lindley, Alexandria","51.55","45.91","61.33","98.25","70.36","91.12","77.94","4.01"
"Richter, Kevin","36.26","89.46","32.49","55","34.37","98.91","41.09","10.14"
"Lee, Destiny","80.97","78.77","1.35","65.79","70.8","78.35","63.71","35.62"
"Bell, Natnael","32.23","35.97","36.16","98.43","59.45","77.47","48.57","71.21"
"Duong, Tin","71.71","98.23","46.88","93.62","6.72","60.86","70.51","22.93"
"Hancock, Tre","72.36","75.33","58.98","63.87","38.92","42.63","95.4","25.54"
