"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Sigala-Mejia, Dante","58.63","17.16","56.96","35.27","89.1","68.14","39.6","53.19"
"Than, Melanie","79.86","10.68","51.27","75.14","85.54","58.36","35.2","40.93"
"Tieman, Legend","50.22","55.26","53.45","58.29","59.44","98.69","84.38","42.66"
"Rodriguez, Aracely","43.49","38.42","64.41","29.93","39.53","58.05","85.08","49.99"
"Cooksey, Akshay","46.94","25.85","36.81","63.65","44.91","48.54","70.2","96.62"
"Lor, Alexandra","55.97","55.32","82.72","82.85","51.26","69.78","81.53","81.17"
"Ramirez, Thalia","98.13","63.06","95.32","99.05","54.64","79.01","80.28","35.53"
"Perkins, Andrew","65.9","92.85","54.82","19.46","99.95","74.13","71.78","98.62"
"Geberkidane, Leesa","40.42","81.15","69.34","80.07","88.56","55.8","20.35","13.73"
"Cartahena Jr, Yoo","43.61","4.71","44.63","62.56","31.55","82.83","13.71","93.41"
"Johnson, Shahlia","34.48","48.75","77.89","67.69","21.3","12.94","58.88","25.85"
"Cleveland, Alejandra","84.16","34.23","55.44","55.94","59.34","51.01","67.58","80.76"
"Nguyen, Travis","32.24","30.3","99.98","28.9","80.32","37.11","36.1","73.19"
"Wilkens, Joshua","73.79","89.69","60.73","98.63","59.92","32.31","59.23","59.17"
"Lasalle, Miah","94.31","89.82","98.42","77.64","71.92","56.31","67.24","78.27"
"Hinojos, Iris","60.02","43.58","54.93","75.77","79.85","94.66","80.23","57.6"
"Duran, Evelyn","36.24","46.55","75.58","27.35","66.67","97.25","55.93","95.98"
"Hicks, Jayde","65.13","53.84","82.93","93.5","80.83","78.09","31.81","32.57"
"Harris, Edwina","24.62","41.75","48.58","87.96","57.33","75.64","97.11","98.07"
"Duling, Jewel","44.54","43.76","61.19","96.76","59.69","77.77","33.08","17.54"
"Uyeda, Peter","98.5","52.99","57.12","84.45","81.43","36.83","35.71","37.18"
"Garcia, Jerardo","8.02","12.89","64.36","56.55","40.24","56.26","64.72","7.35"
"Davila, Cole","45.39","55.91","81.28","59.51","73.22","42.37","50.53","0.73"
"Rabbipal, Kye","97.82","27.06","37.05","8.94","97.51","43.12","73.97","40.06"
"Bazemore, Matthew","19.34","42.31","59.82","28.25","73.15","79.66","41.12","54.24"
"Ardito, Peter","59.7","66.12","76.74","53.47","97.11","96.42","96.87","99.92"
