"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Hsiung, Vinson","64.54","49.4","11.41","76.59","72.44","87.29","35.93","42.75"
"Brown, Ashleigh","77.32","77.5","74.93","35.38","19.98","62.19","80.37","77.54"
"Wauneka, Draven","79.84","61.96","7.79","32.31","82.7","94.64","33.14","28.39"
"Jeffreys, Helena","35.64","77.93","52.49","88.26","45.29","40.05","20.88","83.94"
"Lucero, Gabriel","48.86","96.7","74.48","28.17","60.08","45.34","99.65","65.14"
"Chavez, Sergio","43.15","30.65","28.16","23.12","53.93","53.4","51.25","35.72"
"Thompson, Nechelle","53","59.84","63.88","65.24","62.78","33.03","65.02","67.66"
"Choi, Kalee","26.84","90.8","17.8","95.24","78.84","55.53","32.06","41.66"
"Mcmahon, Ashley","24.77","46.95","76.79","96.73","43.63","66.89","74.66","97.25"
"Gonzales, Yolanda","45.81","60.12","57.92","19.42","84.57","27.82","77.39","53.76"
"Gomez, Mirissa","64.63","16.01","42.69","31.82","97.83","80.2","19.8","77.58"
"Vincent, Aubree","84.84","80.34","74.82","65.08","83.14","17.29","83.44","79.65"
"Gibson, Michelle","56.54","66.2","27.75","49.28","82.89","71.49","54.21","36.02"
"Estrada, Kirstie","39.64","82.63","35.04","62.39","96.28","37.98","52.96","95.4"
"Richardson, Trey","53.9","40.29","96.27","68.72","24.06","18.42","67.52","96.03"
"Abeyta, Nicanor","69.11","35.29","74.12","93.56","96.36","83.04","39.39","90.97"
"Hill, Mckayla","59.02","33.71","42.46","84.17","49.6","74.88","62.12","95.42"
"Bolton, Alix","75.78","54.47","36.71","99.72","79.41","42.53","27.8","78.68"
"Strother, Raegan","60.46","8.08","94.91","82.25","68.8","99.18","23.15","50.96"
"Smoote'-Caesar, Kelly","82.96","61.79","70.34","91.57","32.89","96.97","78.58","69.11"
"Tripathi, Yuri","18.39","39.27","38.97","81.14","74.43","95.12","82.23","35.47"
"Kuo, Dominique","45.67","74.31","37.39","68.87","99.7","47.7","66.27","78.3"
"Goerner, Jedidiah","57.74","83.31","98.4","51.46","76.42","26.5","72.34","35.83"
"Price, Casandra","34.52","66.21","92.65","84.61","3.07","29.31","93.21","84.32"
"Nguyen, Adrian Allan","58.49","82.85","56.81","97.18","45.27","98.37","98.86","46.27"
"Truong, Elizabeth","30.41","96.46","19.42","97","37.46","56.84","81.18","6.61"
