"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Colon, Sachelle","3.85","93.07","6.54","70.71","52.45","41.8","96.89","70.73"
"Bonilla, Sansom","54.17","32.74","68.47","55.03","76.97","61.23","64.46","38.68"
"Washington, Demar","53.53","1.61","49.29","80.93","80.92","56.1","28.38","33.74"
"Sapp, Dayzhanaie","95.69","95.04","58.79","45.25","40.26","98.76","78.03","31.16"
"Adams, Alexandria","17.81","94.33","16.83","11.01","79.9","49.19","51.52","57.73"
"Talley, Daejon","25.95","57.18","98.51","82.36","94.98","83.37","43.54","77.31"
"Nguyen, Mia","9.36","75.44","49.3","36.55","39.79","79.26","79.23","4.58"
"Sanchez, Veronica","60.38","89.65","63.25","33.17","88.1","97.37","81.02","71.8"
"Ye, Ijya","42.91","27.44","81.42","44.64","58.58","73.73","31.8","37.19"
"Lucas, Brandon","48.81","43.97","33.74","69.9","63.36","54.27","55.2","73.54"
"Doan, Shelly","58.8","79.55","95.28","24.9","89.8","80.51","14.31","44.21"
"Lewis, Kaho","84.29","34.64","97.7","80.72","60.35","78.69","96.08","54.24"
"Anderson, Shanada","62.36","1.82","52.68","29.59","88.64","33.5","62.1","60.64"
"Simon, Joshua","36.56","83.19","9.3","47.06","49.49","36.62","97.38","32.79"
"Jalloh, Asia","93.53","56.01","69.14","54.12","58.52","72.12","48.08","79.73"
"Benally, Lucia","69.02","73.21","98.56","59.62","94.56","86.69","85.81","77.71"
"Webb, Maithreyi","37.08","51.09","81.09","31.47","73.34","57.5","42.6","75.89"
"Cervantes, Joshua","90.7","57.04","87.77","50.5","48.52","1.2","64.7","78.97"
"Colin, Cody","73.46","44.8","31.91","57.38","77.97","0.97","48.23","74.55"
"Intaratat, Samantha","58.84","63.23","62.55","90.29","51.61","2.93","44.6","98.58"
"Sloan, Ibsa","75.02","52.77","93.65","59.32","83.71","35.06","99.81","82.98"
"Andrade, Zhane","24.58","98.45","55.45","98.43","56.25","53.37","64.18","98.33"
"Martinez, Jessica","92.91","40.58","19.55","47.13","40.25","43.29","83.94","25.36"
"Hudgens, Maileek","98.72","41.76","2.99","0.02","30.92","81.65","28.18","39.71"
"Martin, Unwana","6.73","41.83","35.08","38.1","95.11","39.7","87.96","94.82"
