"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Dang, Seung","62.22","57.16","71.48","76.24","59.02","98.53","67.32","98.14"
"Mcdermott, Naomi","61.67","53.65","80.6","57.63","98.77","55.82","6.72","56.93"
"Farah, Reva","67.43","75.49","30.93","49.68","54.76","96.36","91.98","5.06"
"Hutchcraft, Madison","78.89","40.92","37.72","78.47","31.99","43.08","28.73","58.73"
"Carter, Jessica","75.3","64.86","78","34.73","6.61","35.94","63.47","39.56"
"Lewis, Silas","6.93","65.85","23.45","40.29","30.44","80.25","86.99","58.86"
"Good Wind, Rylee","11.16","79.96","79.21","7.57","53.31","24.47","85.73","79.09"
"Wang, Danny","52.67","90.74","53.91","59.37","34.13","63.51","45.75","46.63"
"Gomez, Daria","77.37","78.71","45.16","49.89","26.1","29.07","84.29","57.01"
"Hester, Tyeshia","62.93","56.74","93.09","73.6","63.35","19.45","28.24","50.46"
"Renteria, Franky","33.37","77.91","85.98","38.32","58.7","59.68","96.69","79.83"
"Rondeau, Catrina","99.12","99.61","17.44","82.1","31.85","45.23","56.12","22.15"
"Schnicker, Kevin","86.68","22.75","31.99","13.3","69.12","79.65","52.13","90.61"
"Mameda, Ryan","72.96","73.66","64.33","84.45","33.04","30.71","37","36.87"
"Strock, Nicole","48.65","75.87","72.83","60.23","66.76","23.78","85.19","47.82"
"Kwag, Eric","75.3","48.62","70.28","37.32","71.09","35.92","69.61","34.68"
"Thompson, Kerry","61.57","52.75","38.68","45.65","76.55","83.59","29.18","54.89"
"Sedbrook, Jonathan","46.59","61.12","86.83","14.64","59.8","97.84","44.44","38.57"
"Upadhyay, Rebecca","19.29","61.37","97.55","56.04","37.18","49.89","65.05","72.36"
"Warren, Sarahray","77.79","53.84","38.81","50.86","96.01","53.78","26.32","36.92"
"Brisker, Preston","81.47","63.98","84.79","96.31","70.56","43.12","39.05","74.23"
"Gonzalez, Renee","13.01","82.44","81.87","34.46","41.71","18.46","98.01","50.15"
"Le, Daizha","58.76","48.25","74.55","56.87","58.86","79.62","50.7","66.23"
"Noris, John","62.16","45.79","78.6","85.75","95.37","56.12","40.04","95.21"
"Lyman, Angelica","28.63","80","60.45","80.6","44.49","98.8","35.34","48.03"
"Ashworth, Austin","42.82","62.28","88.57","54.48","81.66","36.05","57.61","51.92"
