"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Howard III, Dezzerae","14.74","74.93","70.86","37.45","34.16","41.74","66.08","14.35"
"Campbell, Anabel","73","99.08","37.02","80.38","91.55","96.28","54.63","39.37"
"Degena, Jazzmin","51.13","34.11","58.49","56.12","27.25","59.45","82.13","43.1"
"Dilley, Cycrena","77.83","82.35","48.53","59.6","50.24","64.79","63.21","80.13"
"Barnes-Johnson, Desire","72.21","68.79","84.45","95.51","91.46","84.73","60.46","68.26"
"Baca, Yesenia","85.89","45.42","99.15","53.34","31.96","95.98","20.61","47.25"
"Jordan, Chamos","64","34.07","83.12","80.64","65","97.24","96.99","53.09"
"Hayes, Dontay","78.74","62.94","34.89","47.61","24.68","99.52","48.98","98.79"
"Nguyen, Patrick","47.7","60.55","84.73","76.2","73.83","31.3","92.29","90.36"
"Simmons, Eisley","12.41","36.43","78.69","53.92","36.6","60.93","59.19","32.23"
"Lo, Kimberly","34.64","39.39","17.4","44.66","34.17","34.02","56.16","57.63"
"Von Feldt, Colby","82.33","83.17","96.48","29.74","47.5","29.39","96.03","43.01"
"Davis, Cassy","34.82","88.03","26.52","33.77","30.57","99.7","83.91","29.09"
"Anderson, Courtney","76.04","74.12","55.3","80.05","43.11","70.93","42.88","24.52"
"Yee, Alec","61.33","78.39","69.67","50.7","81.64","47.05","18.6","61.76"
"Vargas Morales, Marjorie","38.48","98.56","84.73","99.21","25.48","65.63","29.54","24.94"
"Worley, Jade","67.37","56.38","74","84.83","80.55","59.74","28.89","96.87"
"Mcculley, Enerel","98.44","37.25","19.94","76.71","30.5","8.46","66.06","46.01"
"Corso, Carlos","29.47","97.37","34.23","74.69","27.96","36.47","33.21","95.96"
"Wolday, Nataya","31.07","36.89","44.17","6.05","45.21","56.17","42.79","81.9"
"Garcia, Savannah","42.86","23.61","93.26","29.27","64.93","25.68","80.37","34.24"
"Jefferson, Jonas","57.49","28.03","49.9","83.89","44.49","57.17","59.96","60.62"
"Cook, Karla","82.27","26.04","59.09","72.51","31.44","64.87","78.16","2.81"
"Dew-Merriex, Alexandra","98.68","95.96","66.95","88.64","27.62","29.41","81.3","66.59"
"Willcutt, Jacob","42.6","79.02","65.27","50.47","95.22","73","92.89","58.44"
"Starr, Sierra","74.11","82.46","73.5","51.96","98.51","53.23","18.84","73.17"
"Jackson, Sergio","76.02","62.25","28.93","15.47","92.31","51.87","32.1","96.2"
"Samuel, Devarieyia","50.54","57.16","40.7","71.1","83.04","83.89","60.31","58.53"
"Reid, Gailen","49.8","58.35","46.49","31.23","93.8","99.03","15.04","99.49"
"Rodriguez, Vanessa","35.39","84.52","34.56","34.31","60.81","37.15","82.37","30.63"
"Ishizuka, Yi Sul","56.49","26.35","55.17","99.54","76.06","71.11","89.65","55.41"
"Meyerhofer, Darwyn","79.37","83.67","49.35","3.09","29.75","43.67","84.02","45.67"
