"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Chau, Kaylee","51.06","58.57","54.57","26.03","82.77","99.28","76.19","36.57"
"Knodel-Eldridge, Shaunae","76.05","77.64","45.86","34.62","61.29","71.54","10.23","90.46"
"Dionisio, Xavier","15.53","80.53","73.51","85.37","12.34","28.68","82.08","59.29"
"Rivera, Zachary","97.92","76.83","84.02","47.52","68.21","93.1","96.08","96.46"
"Lawrence, Vanessa","75.28","72.79","78.52","79.93","51.73","85.95","72.6","52.42"
"Baros, Anna","44.59","77.55","58.54","17.4","16.23","70.8","99.13","77.07"
"Martinez, Jazmin","57.14","56.25","48.61","55.39","66.76","99.89","63.61","77.59"
"Lee, David","43.18","30.25","82.25","36.28","48.68","86.7","55.67","34.45"
"Tafoya, Sandra","59.92","33.34","74.41","19.88","39.94","72.92","73.52","36.38"
"Hotchkiss, Erin","75.92","56.81","80.07","32.61","85.38","75.57","34.37","94.3"
"Kim, Leandra","98.47","39.02","81.15","42.54","99.11","21.43","82.36","32.78"
"Rosas Vieyra, Eduardo","67.85","60.52","31.21","61.15","73.08","66.11","13.67","57.56"
"Rucker, Kaylan","60.36","62.84","65.46","37.35","64.12","33.91","51.19","55.76"
"Tibbett, Fredi","82.9","82.37","39.89","40.38","71.12","76.15","46.36","54.21"
"Mendoza-Morgan, Juanita","77.08","95.46","64.22","56.49","99.26","61.42","79.26","77.94"
"Fisher, Amy","15.14","1.23","55.43","59.27","75.93","99.87","36.07","74.32"
"Doublin, Eliscia","62.23","98.87","50.5","97.58","51.32","48.68","70.63","82.9"
"Meza, Moesha","74.78","64.49","54.59","48.66","35.33","76.13","34.21","88.49"
"Kobayashi, Amelia","51.18","76.69","24.61","51.54","25.27","79.71","97.59","78.9"
"Anaya, Elisia","46.94","83","47.05","26.67","34.17","39.94","80.45","61.37"
"Lua, Nicholas","48.74","29.95","83.71","58.94","17.28","56.41","51.88","78.53"
"Rocha, Roxana","61.73","22.79","17.48","87.12","60.08","72.79","99.86","74.98"
"O'Keefe, Gabriella","83.97","23.46","36.26","82.19","16.63","10.59","46.03","83.78"
"Benson, Monique","41.67","78.73","27.15","63.06","55.65","60.22","75.73","87.79"
"Hayes, Joseph","75.5","41.71","52.48","52.79","80.55","78.66","77.88","80.54"
"Stauffer, Joshua","60.1","32.95","51.44","41.5","79.1","74.07","59.82","54.29"
"Brutus, Jaila","43.42","43.48","54.7","76.52","89.91","22.55","23.81","10.51"
"Brady, Eun","54.53","38.91","29.23","90.68","19.43","28.25","96.51","41.17"
"Garcia Guzman, Xoaquin","82.39","73.62","63.24","57.66","82.84","64.81","99.85","97.89"
"Diggs, Rakem","81","73.06","75.51","72.22","13.24","56.94","81.34","58.53"
"Wilson, Benjamin","68.2","77.72","64.77","76.88","63.47","84.67","52.15","58.04"
"Castanon, Jamileth","62.71","61.86","12.12","84.95","35.32","93.71","94.61","81.94"
"Combs, Latesha","59.96","98.46","54.2","25.86","27.45","37.55","30.39","65.61"
"Herron, Koineanoah","71.41","75.36","96.54","31.96","77.62","77.52","23.75","36.94"
"Phan, Kody","51.89","35.05","81.88","90.39","97.24","51.48","27.51","64.92"
