"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Romero, Adjoa","95.82","7.14","7.04","84.83","23.23","81.29","58.12","57.3"
"Schreibman, Kevin","74.9","80.33","54.3","35.1","77.35","79.84","24.57","44.52"
"Pina, Elizabeth","40.97","11.09","44.86","24.96","40.74","33.38","76.98","77.31"
"Kearney, Kento","37.72","11.17","76.89","55.04","18.23","98.78","24.84","37.46"
"Luna, Isaac","98.12","36.49","41.48","66.86","94.95","23.15","43.55","61.43"
"Rodriguez, Raymond","78.47","73.08","79.05","7.16","50.89","78.83","15.27","59.91"
"Ghaffari, Brittany","26.02","82.19","16.07","60.43","34.51","30.09","62.71","94.96"
"Kim, Robert","85.46","70.1","24.05","85.29","27.03","96.35","60.7","61.28"
"Shrestha, Mckaylee","16.54","63.54","21.01","56.57","93.18","97.15","55.03","10.96"
"Macias, Raquel","98.85","82.23","96.81","98.19","72.28","38.66","97.27","52.51"
"Lee, Richard","55.93","38.81","65.47","70.97","91.65","18.66","74.48","42.26"
"Gonzales, Jordan","85.72","52.17","32.24","79.03","59.92","95.47","18.12","16.48"
"Martinez, Evangelina","84.9","23.21","38.29","45.64","31.47","70.27","83.68","26.16"
"Hasui, Armond","70.48","38.77","80.25","97.17","64","62.93","29.92","2.11"
"Hamilton, Taylor","56.69","64.37","40.82","10.52","35.87","41.48","77.01","56.56"
"Turner, Alexandra","33.33","52.64","32.98","43.27","81.75","52.03","39.69","43.15"
"Park, Angela","23.98","99.08","53.31","82.49","1.69","63.17","71.22","61.95"
"Hernandez, Larissa","35.33","50.06","76","38.49","38.02","55.51","50.39","79.76"
"Alvarado, Isidra","75.45","51.43","98.25","62.46","62.13","36.26","66.7","97.05"
"Sandoval, Yamilex","70.67","73.23","31.04","84.57","50.52","76.78","45.73","71.95"
"Segura, Rosa","80.67","83.09","38.67","97.9","96.22","77.39","99.92","61.19"
"Sirichantho, Khulan","48.14","53.23","82.24","43.35","9.7","29.12","67.33","80.29"
"Macchione, Jeremiah","37.46","55.12","40.32","99.58","42.69","81.9","12.07","96.05"
"Jackson, Randy","36.65","94.62","41.9","77.75","50.68","40.5","53.87","5.16"
"Zhao, Denton","88.54","52.51","89.35","61.47","46.25","80.94","59.91","28.55"
"Wilson, Justin","59.84","68","46.17","61.19","78.69","60.6","10.86","27.56"
"Burnham, Natasha","15.18","48.82","96.4","38.65","81.93","59.55","43.94","66.38"
"Quintero, Judith","62.4","77.44","63.82","63.48","65.85","55.89","63.75","30.6"
