"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Cooksey, Ahmed","58.01","74.2","74.31","53.5","79.25","93.41","83.11","81.32"
"Her, Al","98.31","81.14","32.64","49.82","84.11","19.6","79.15","76.82"
"Escobedo, Brandon","77.93","66.05","65.7","24.53","62.01","82.06","30.03","56.86"
"Eagle, Arianna","33.71","89.32","77.85","55.9","89.29","79.26","79.86","79.93"
"Banks, Marquis","78.94","99.35","40.15","50.93","46.78","73.91","35.63","74.44"
"Burnett, Neshea","60.09","98.83","44.78","20.69","65.23","30.88","42.63","70.58"
"Thamrongpradith, Hien","79.58","79.41","63.69","42.49","94.88","75.29","82.79","22.09"
"Santoyo Toscano, Claudia","59.91","78.79","38.12","79.45","44.34","74.56","52.07","34.48"
"Gaynor, Amanda","51.49","45.16","58.19","60.45","69.36","39.63","58.19","58.95"
"Contreras, Ron","35.02","35.74","82.69","75.94","72.01","34.75","46.89","93.09"
"Turner, Tahja","43.78","28.99","76.43","55.62","88.63","52.88","76.92","46.38"
"Thomas, Alyssia","50.59","28.42","32.66","71.06","68.26","98.73","78.77","99.71"
"Pedroza, Julia Carmen","97.22","53.59","41.13","43.85","47.39","76.14","59.96","54.24"
"Soria, Diana","95.41","57.46","37.45","25.94","99.22","49.38","78.55","28.29"
"Greene, Jaime","51.92","15.75","36.4","92.86","59.49","46","48.99","84.33"
"Haulman, Cicely","67.8","13.49","38.82","46.61","80.24","0.93","47.46","73.02"
"Lujan, Samantha","9.25","33.7","78.71","50.49","72.5","37.35","76.51","63.69"
"Merriweather, Kendra","72.58","54.85","76.69","53.97","31.04","37.12","70.95","80.95"
"Rice-Sayers, Keesha","23.12","46.27","44.86","39.2","79.59","90.97","80.75","66.52"
"Morton, Aysia","58.39","22.99","96.5","96.89","86.62","96.7","30.76","9.38"
"Luna Lopez, Maria","78.69","95.95","52.88","68.5","97.4","15.34","39.21","41.05"
"Evans, Jerry","37.51","49.96","54.65","29.68","94.84","73.89","93.49","72.88"
"Bencivenga, Alexis","23.66","28.93","70.42","5.05","17.69","45.04","73.44","53.99"
"Kourajian, Taylor","37.46","84.02","51.53","71.68","40.31","76.08","63.81","43.34"
"Roy, Olivia","35.26","68.39","37.82","16.25","52.71","58.27","4.43","98.96"
"Huynh, Isabella","87.99","37.96","96.54","38.76","71.05","79.76","18.15","98.95"
"Nguyen, Eric","44.49","50.22","82.22","73.64","66.35","30.1","76.18","97.75"
"Williams, Taber","99.36","26.31","42.18","79","98.37","68.97","74.82","19.09"
"Akiyama, Dong-Keun","51.42","48.36","67.37","73.9","81.41","79.7","30.37","16.75"
