"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Nguyen, Hope","61.07","51.5","82.82","51.74","27.4","80.56","82.56","96.39"
"Meza Pelayo, Nanette","37.81","86.77","63.05","37.71","77.64","84.01","41.88","41.65"
"Oldenburg, Abbygale","54.05","82.44","88.02","41.18","36.11","65.04","65.69","21.66"
"Reza Pavon, Yaritza","84.04","39.61","41.24","99.07","23.51","17.65","78.13","33.98"
"Thapa, Sydney","3.74","57.6","26.93","38.29","97.56","40.98","10.11","67.63"
"Brown, Tory","42.02","47.63","57.96","97.75","82.34","98.58","53.21","97.89"
"Phillips, Akayla","57.2","47.6","79.66","83.59","84.01","40.09","73.75","31.57"
"Mead, John","81.39","80.44","2.38","83.51","57.08","31.65","85.14","56.13"
"Godwin, Vincent","11.93","78.82","51.03","34.26","83.74","77.53","35.17","97.14"
"Benitez, Dustin","35.24","36.54","45.4","57.39","61.68","49.84","97.27","0.43"
"Singh, Xiaoyun","82.3","27.89","38.16","41.15","66.8","23.74","0.37","79.01"
"Andrade, Jamie","95.75","97.35","99.86","79.46","84.04","77.5","40.12","84.78"
"Eltom, Todd","57.52","60.07","37.36","99.81","83.11","55.97","72.16","84.23"
"Mcfarland, Kaleb","11.72","33.13","63.34","72.97","56.9","76.07","43.39","98.54"
"Lane, Almaz","83.66","84.38","54.9","85.3","45.78","79.02","42.55","87.25"
"Strader, Rei","43.48","33.11","78.74","80.57","70.96","86.01","68.7","14.06"
"Hendricks, Madalyn","11.21","95.1","45.77","98.07","53.92","63.76","76.95","82.12"
"Baker, Joshua","35.56","98.9","72.42","62.08","22.73","42.52","68.25","54.82"
"Boucneau, Victoria","96.95","34.68","54.53","77.03","61.51","97.17","28.1","10.77"
"Carter, Da Seana","12.77","66.63","47.84","35.73","51.29","51.77","49.75","45.95"
"Pesek, Michelle","51.91","63.58","92.92","53.21","9.21","30.81","8.04","68.22"
"Anderson, Alana","93.84","47.29","58.19","36.81","55.13","39.11","75.09","44.93"
"Lytle, Gabriell","81.08","98.81","52.26","43.14","81.01","50.24","36.82","49.47"
"Day, Deven","52.35","83.22","24.32","8.65","97.74","7.99","14.92","81.49"
"Mendez, Marisa","38.29","49.78","96.13","98.63","95.25","21.5","66.14","65.75"
"Latas, Steven","41.43","29.21","83.85","52.89","30.69","62.11","73.5","95.48"
"Clark, Maxwell","36.97","99.23","74.64","52.97","45.08","4.12","83.16","26.88"
"Flores, Brenden","99.12","32.48","62.01","23.3","25.64","31.9","54.46","98.18"
"Koka, Drakkar","78.26","62.68","33.49","51.59","52.76","72.44","88.44","41.71"
"Lor, Raymond","68.4","23.09","39.62","75.98","44.8","82.82","61.06","48.22"
"Chan, Britanny","22.32","56.95","33.01","96.5","43.11","74.6","34.72","1.43"
"Zellars, Samrawit","30.4","98.86","61.13","73.22","81.38","16.82","11.77","43.13"
"Felder, Ashlee","57.08","39.53","58.49","54.97","39.35","97.61","82.73","80.31"
