"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Sharp, Elexas","78.38","27.47","62.63","52.06","64.9","78.72","79.35","95.83"
"Martin, Christopher","39.54","64.3","62.53","43.34","44.88","30.77","60.96","36.17"
"Bustos, Jaslynn","40.66","56.09","81.81","79.65","33.32","31.49","45.93","68.7"
"Gomez, April","19.81","47.32","34.54","73.79","38.98","37.85","70.8","15.3"
"Jones, Lina","93.87","40.95","78.77","10.55","20.47","33.51","78.51","49.52"
"Johnston, Levi","39.35","55.78","98.78","47.68","28.12","78.86","53.03","61.66"
"Weiss, Joshua","56.88","68.59","99.48","53.94","24.35","84.32","86.53","99.27"
"Causey, Randy","86","33.52","32.11","77.87","78.72","50.8","31.57","66.16"
"Dewitt, Natasha","49.66","82.25","63.51","57.79","42.07","76.89","55.86","76.73"
"Gildon, Dekese","21.21","26.07","51.56","74.33","76.9","24.45","59.79","98.21"
"Burgess, Kyle","15.21","59.47","28.92","53.16","97.71","83.74","82.54","59.69"
"Billings, Kou Pheng","35.21","45.04","78.37","21.72","64.08","71.35","98.58","85.09"
"Thomas, L'Thysharee","78.35","30.12","80.28","32.87","57.34","63.79","35.8","98.75"
"Hardy, Samiha","80.62","38.83","51.78","82.48","52.26","39.23","73.45","65.41"
"Sandoval, Alvaro","84.13","52.09","57.76","33.74","20.44","77.84","33.88","44.42"
"Franco, Luis","56.87","45.13","54.67","77.53","52.24","73.96","86.23","49.68"
"Tan, Antonia","82.33","64.42","95.2","38.08","56.01","95.06","36.46","82.14"
"Soto, Brendon","61.53","81.14","41.14","78.49","33.28","97.8","42.1","85.46"
"Vellandi, Zachary","80.6","61.9","17.05","45.55","95","79.15","40.35","99.64"
"Ruiz, Madeline","58.87","97.83","97.2","95.49","69.39","28.25","27.24","34.3"
"Bustillos Gil, Kassandra","58.25","49.06","34.95","58.43","80.95","77.65","28.35","22.49"
"Lee, David","21.22","62.14","57.37","99.2","44.35","78.52","62.67","25.16"
"Hughes, Taten","51.3","65.8","84.61","81.86","88.19","98.4","18.54","83.24"
"Gussman, Curtis","34.86","63.85","52.71","94.99","63.08","91.87","29.49","24.32"
"Dejong, David","64.52","25.65","78.09","11.87","53.49","82","77.19","96.85"
"An, Maureen","60.81","0.32","84.6","57.07","70.71","74.42","80.24","59.67"
"Cotonuts, Angelito","98.28","37.13","13.66","98.41","31.78","63.08","75.39","94.16"
"Khan, Gerrison","80.46","99.12","74.15","51.08","84.85","52.03","57.86","2.83"
"Newell, Kevin","92.63","80.93","99.97","14.08","98.12","74.94","98.14","37.15"
"Roberts, Samantha","43.12","51.24","13.04","93.4","61.66","25.72","85.92","64.1"
"Otgontulga, Kathryn","35.38","91.87","47.03","47.99","41.67","52.97","63.34","58.55"
"Zilm, Karen","62.08","84.27","82.54","37.36","40.63","76.34","54.93","55.32"
"Najjar, Bryan","56.93","71.05","35.67","37.35","29.21","73.49","40.63","81.14"
