"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Nguyen, Thanin","99.57","54.42","93.03","66.24","49.73","68.49","83.16","94.62"
"Rivera, Kendall","7.26","30.69","76.58","96.38","54.18","74.7","81.69","18.54"
"Brooks, Henry","99.13","77.39","58.72","62.61","69.18","37.43","31.17","59.87"
"Gilkey, Darnell","70.32","64.29","82","44.29","82.91","98.56","50.44","76.84"
"Perez, Matthew","11.49","79.95","55.82","99.11","4.27","80.83","48.94","82.93"
"Hess, Madeline","59.63","67.57","39.95","57.21","78.34","61.8","32.86","49.29"
"Macias, Aime","37.98","48.24","44.5","54.87","85.35","95.93","94.08","72.21"
"Moimoi, Valeria","43.15","11.79","73.79","37.17","54.87","19.73","38.28","48.45"
"Barnes, Tyler","99.09","32.37","42.61","50.12","64.13","15.61","96.35","87.95"
"Brown, Domonik","77","82.81","61.06","38.93","83.03","84.41","97.67","64.36"
"Wise, Regina","1.09","41.67","53.01","60.37","63.03","24.76","58.55","56.59"
"Bank, Gerom Angelo","44.65","43.51","86.55","56.99","95.9","36.49","54.69","41.82"
"Whiteplume, Taylor","26.01","10.22","58","76.29","76.37","54.6","21.61","27.5"
"Hardy, Patrick","27.35","75.73","73.7","39.52","81.54","35.85","84.07","32.3"
"Chau, Chivithaya","80.95","99.89","95.04","96.61","78.75","72.45","74.24","76.14"
"Jackson, Justin","58.79","27.12","74.38","94.69","85.31","83.52","57.55","41.16"
"Quintana, Stephen","96.19","54.91","53.41","46.12","35.78","79.85","81.76","55.55"
"Matthews, Ariana","83.18","3.78","63.02","99.47","77.02","41.41","59.57","26.87"
"Martinez, Carlos","38.89","56.3","52.14","23.96","99.29","86.3","62.92","72.12"
"Moua, Qiao Yi","44.7","49.34","77.47","80.99","68.18","51.8","32.45","74.19"
"Ortiz-Cuevas, Samantha","99.08","86.25","79.92","97.51","84.61","59.33","52.1","1.64"
"Roque, Cesar","84.72","17.52","49.34","98.63","83.36","53.08","57.85","89.08"
"Habtemicael, Graylin","61.34","50.73","31.09","53.01","95.67","50.67","60.98","24.58"
"Alderman, Jamie","6.59","61.5","62.9","58.95","74.97","69.35","96.36","99.37"
"Vu, Nicole","78.72","39.83","72.16","94.28","39.49","71.43","35.97","99.1"
"Athwal, Calvin","36.79","17.01","72.59","73.62","99.75","57.81","86.25","31.16"
"Valdez, Dominique","84.25","50.21","73.19","35.26","93.71","76.88","96.19","77.51"
"Loera, Diego","58.12","44.55","99.61","35.49","58.72","38.49","77.72","99.61"
"Chacon, Ena","53.36","32.45","98.24","85.95","98.59","88.9","84.7","45.63"
"Ortiz, Dulce","65.61","62.45","41.77","12.53","40.54","65.81","95.36","45.31"
