"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Ramesh, Caden","20.71","16.37","48","42.47","23.29","72.07","57.53","62.9"
"Martinez, Monica","88.03","20.73","23.17","55.99","81.54","99.26","1.36","98.99"
"Gonzales, Alec","50.56","54.55","46.05","77.22","93.61","83.11","82.33","77.16"
"Conyac, Zachary","99.96","89.69","79.62","8.71","52.85","80.82","59.49","40.5"
"Lucero, Alyssa","82.37","99.82","54.78","74.37","40.05","59.67","27.31","22.08"
"Wakasugi, Michael","35.78","29.14","17.22","79.27","76.74","38.35","87","95.56"
"Williams, Belane","66.83","47.49","76.79","31.25","32.43","76.08","37.28","60.31"
"Henderson, Kaylie","97.57","39.17","72.67","93.69","83.31","78.84","31.13","63.84"
"Pacheco, Ian","84.45","17.17","40.2","52.28","62.11","67.48","11.91","58.87"
"Omotosho, Damarius","40.68","65.43","47.53","37.88","98.98","40.85","53.56","45.95"
"Spencer, Kayla","39.11","30.64","64.23","27.16","94.57","52.5","38.27","71.81"
"Pham, Jennifer","82.65","15.2","53.37","37.91","46.33","48.93","27.7","47.5"
"Blea, James","51.85","63.69","77.75","75.09","36.02","80.12","96.21","53.01"
"Krabbe, Sarah","77.33","41.24","72.89","22.67","51.15","11.64","67.14","99.44"
"Tafoya, Deanna","25.81","70.07","74.36","77.17","82.13","34.44","30.81","40.47"
"Thomas, Zimiri","63.17","34.26","12.9","37.87","59.59","53.63","94.99","80.79"
"Booze, Jordan","98.46","39.4","42.31","52.1","24.56","39.98","60.8","48.95"
"Montoya, Sara","64.88","67.47","36.53","49.49","0.07","32.23","79.97","48.91"
"Durre, Madison","54.27","64.48","59.7","58.21","60.47","19.45","17.74","60.71"
"White, Celia","1","55.92","82.96","31.68","47.04","30.41","45.76","38.52"
"Mahamed, Marqece","97.07","98.61","31.42","79.56","33.52","69.02","47.42","34.08"
"Robinson, Ebonie","80.52","65.35","96.96","65.61","50.85","19.09","15.15","97.27"
"Sperry, Neeme","64","66.89","65.48","54.4","97.98","59.35","98.52","75.41"
"Kane, Billy","53.17","47.64","71.68","53.17","59.2","99.65","70.55","65.87"
"Grixby, Lucia","31.83","76.1","67.49","61.53","26.78","51.65","3.49","31.23"
"Letzler, Andrew","99.96","99.35","97.65","95.08","23.86","30.51","37.8","34.27"
