"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Lave, Christian","88.74","65.99","54.98","41.55","31.11","65.06","83.85","80.96"
"Bell, Mikala","59.93","27.57","98.53","78.59","77.57","82.49","56.08","77.59"
"Crawford, Imari","79.1","11.31","66.68","25.63","98.68","96.48","96.2","75.42"
"Hintz, Jordan","75.06","20.91","54.38","69.02","35.84","85.95","17.12","82.38"
"Kuot Moody, Hung","44.9","67.96","32.17","59.68","68.16","46.04","49.36","76.2"
"Kinter, Jason","54.43","69.85","99.77","54.59","47.01","66.98","96.7","92.43"
"Kim, Parnia","47.69","76.1","98.88","1.94","38.87","66.9","80.09","51.01"
"Jones, Courtney","9.16","63.5","61.79","52.78","44.16","37.56","75.99","52.68"
"Deering, Dylan","77.7","63.14","12.48","95.61","42.24","57.3","42.74","96.57"
"Bruce, Anya","56.6","26.98","33.45","81.74","27.39","31.1","74.96","63.68"
"Nguyen, Danny","38.56","29.38","98.6","28.02","97.08","94.31","49.81","41.15"
"Montoya Montes, Daisy","43.72","55.49","78.52","76.97","40.71","79.65","87.38","35.22"
"Alger, Hope","78.53","84.62","11.97","40.54","38.43","61.21","22.87","7.01"
"Winters, Mehgan","16.48","86.39","84.92","35.54","49.42","74.94","77.77","81.73"
"Hines, Jason","44.58","44.97","41.54","39.46","85.67","79.18","45.78","98.38"
"Balan, Ntxuam","97.35","44.76","72.74","79.58","71.82","69.55","74.93","61.6"
"Gallegos, Brett","18.37","95.53","57.13","74.26","29.97","98.9","20.98","51.46"
"Nagao, Alyssa","82.85","98.73","28.24","58.42","41.42","48.96","35.28","60.38"
"Guerrero-Herrera, Tori","47.07","83.18","87.06","62.97","49.6","81.13","98.63","93.06"
"Stevenson, Jordan","55.22","60.44","41.23","96.59","41.97","59.74","57.46","55.83"
"Nguyen, Ethan","39.86","80.72","56.87","38.15","95.39","39.26","95.35","14.53"
"Ellison, Chidiebere","63.28","52.53","97.79","64.78","80.47","96.27","38.95","43.72"
"Bui, Lia","82.84","72","41.04","40.62","46.41","80.93","99.21","78.18"
"Johnson, Leslie","37.8","20.72","7.71","91.45","37.87","20.65","34.13","82.18"
"Harvey, Shawn","65.68","45.22","48.27","82.78","55.09","60.05","23.25","47.49"
"Davis, Dakei","53.52","62.56","46.17","4.66","46.41","95.54","96.22","33.67"
