"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Meza Chavez, Yessica","46.02","72.58","37.52","29.16","66.74","67.17","49.61","56.62"
"Guzman, Pablo","26.53","12.44","76.05","0.57","63.95","80.1","42.68","91.37"
"Cornejo, Sasha","39.53","87.92","19.06","61.01","81.65","62.05","35.41","98.22"
"Berry, Scott","57.66","25.29","62.74","99.19","20.4","56.3","84.99","76.15"
"Meighan, Francisco","17.4","95.05","77.28","99.09","71.53","59.28","96.95","61.52"
"Palmer, Yael","63.74","94.16","85","84.26","42.16","55.8","49.79","69.16"
"Bauer, Harman","43.67","2.09","58.09","98.65","42.29","36.86","71.44","80.89"
"Wagner, Marcus","50.77","60.62","49.1","50.26","32.67","56.28","96.4","81.52"
"Dhanoa, Andy","57.47","78.9","62.25","63.47","59.63","12.82","37.02","58.07"
"Blanco, Charles","66.62","47.6","36.92","79.95","98.07","19.67","77.84","55.13"
"Gardner, Amelia","80.29","30.53","62.32","63.49","43.2","55.2","7.56","43.59"
"Garcia, Lauren","38.07","38.75","28.17","97.97","15.06","55.16","95.9","34.99"
"Venkateswaran, Briana","57.19","66.95","93.09","62.72","98.87","69.35","93.55","79.03"
"Zavala, Melissa","94.92","53.56","23.48","45","82.05","48.03","98.92","49.53"
"Walker, Caitlin","93.76","58.43","53.21","19.7","59.37","95.91","77.24","53.44"
"Martinez-Stoeber, Kimberly","64.58","95.63","45.25","79.32","54.4","30.2","64.08","75.9"
"Muas, Westin","90.03","78.24","56.99","62.94","80.06","36.69","98.74","80.94"
"Finley, Taylor","47.76","41.77","30.37","80.57","39.59","38.04","99.68","82.5"
"Zhen, Aayush","99.77","58.59","56.21","38.81","52.67","86.37","72.22","56.02"
"Payton, Tyler","32.18","36.28","82.3","60","75.46","28.04","64.36","13.95"
"Zhang, Kane","76.08","59.24","58.05","81.57","75.76","0.47","98.03","88.28"
"Glassier, Ian","54.31","96.72","59.93","89.85","80.2","33.58","49.2","82.65"
"Kinloch, Moriah","66.03","99.35","79.18","97.96","77.57","45.98","99.98","45.52"
"Van, Chandler","19.09","64.71","78.1","88.25","64.89","64.61","75.54","53.21"
"Escalante, Sophia","62.43","79.78","50.73","81.99","36.83","99.49","95.48","35.36"
"Martinez, Edgar","78.03","58.33","96.81","67.87","49.93","43.6","85.78","81.54"
"Brown, Laila","32.18","40.63","53.86","59.67","76.87","68.01","63.32","63.06"
"El-Shabazz, Ed'Lexus","96.6","60.95","63.18","71.37","86.01","73.96","11.78","62.7"
"Yang, Austin","82.25","25.42","73.88","96.4","61.35","73.87","95.42","55.64"
"Ferro, Alexis","98.97","56.56","97.64","80.67","61.98","45.85","55.82","49.18"
"Goree, Olufisayo","13.02","85.84","34.04","33","86.01","50.57","97.38","59.99"
