"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Osborne, Shae","61.15","35.21","51.24","82.32","98.37","96","39.26","42.31"
"Medina, Darral","63.29","56.77","66.05","58.54","81.99","73.04","64.9","47.12"
"Archuleta, Brittany","92.43","13.88","49.55","75.05","79.25","63.95","79.83","99.99"
"Munoz-Avitia, Robert","34.89","59.96","84.78","32.34","81.83","98.81","58.98","76.1"
"Lummis, Gerry","98.67","78.39","58.79","59.35","78.98","78.21","16.14","37.85"
"Deboer, Mark","52.25","83.91","49.32","84.62","53.88","51.04","57.94","35.17"
"Rodriguez, Carolina","51.6","99.23","36.57","59.66","73.52","67.14","82.64","57.34"
"Harris, Dejuan","46.7","46.44","63.67","29.46","66.26","70.39","46.52","46.76"
"Tomac, Mickayla","40.59","43.8","59.27","28.56","58.55","90.21","79.78","94.06"
"Shoeboot, Alijah","96.1","74.2","62.8","55.63","60.41","64.61","80.36","44.07"
"Sayers, Andrew","60.71","41.99","65.32","41.62","85.2","36.52","75.53","56.3"
"Terry, Michael","29.89","54","58.34","66.21","77.34","79.11","58.7","66.53"
"Graves, Ishmael","28.74","81.28","37.06","57.56","76.94","0.91","28.75","84.59"
"Lansing, Cheyanne","99.96","54.66","67.4","77.43","98.19","53.92","76.22","36.94"
"Quick, Cesar","43.68","97.98","65.36","64.02","4.55","1.21","78.05","39.42"
"Ho, Noland","96.58","60.02","49.58","54.08","40.66","95.09","43.61","75.56"
"Abraha, Noumouke","32.5","72.44","52.19","96.67","38.15","61.64","54.16","34.38"
"Jimenez Avila, Miranda","60.25","31.31","77.24","52.36","32.25","8.51","73.81","56.14"
"Inthapatha, Carmela","28.06","85.02","42.44","30.31","10.31","86.88","54.24","78.4"
"Hashmi, Shawn","56.5","91.49","82.83","51.25","56.39","44.42","98.91","57.23"
"Tuzizila, Khadijah","93.7","29.52","62.34","42.29","99.17","61.11","4.88","57.91"
"Day, Corey","39.03","15.01","20.85","20.44","13.3","45.19","96.53","58.86"
"Rodriguez, Andrew","44.77","54","83.63","79.84","71.81","63.23","61.48","50.06"
"Randolph, Isiah","7.67","86.94","51.71","99.75","37.22","30.46","56.21","59.46"
"Jimenez Francisco, Oliver","99.34","47.97","81.13","39.32","54.84","44.27","53.67","67.67"
"Allen, Farley","47.98","19.02","73.09","83.79","87.39","79.44","82.74","88.62"
"Mehert Ab, Icenia","75.73","64.75","4.72","86.57","31.21","96.81","78.86","62.46"
"Sayers, Shaquiel","61.03","63.9","42.77","68.28","99.61","55.11","1.95","39.72"
"Loi, Ange-Gabrielle","82.98","53.18","93.81","98.89","97.53","78.7","35.56","50.94"
"Currie, Michelle","76.32","85.01","43.72","37.82","52.17","76.08","82.71","78.3"
"Macrae, Kiet","81.5","42.92","59.6","50.3","60.86","92.15","38.82","60.41"
"Bison, Amber","41.24","84.88","79.02","77.62","49.54","30.66","59.18","96.06"
