"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Mendez, Bradley","28.01","70.68","46.98","49.65","59.96","58.27","75.69","49.72"
"Dutton, Kailey","54.07","8.1","39.91","67.96","12.07","60.07","65.99","96.26"
"Franklin, Maureesha","98.32","49.67","59.83","84.27","57.6","94.65","43.39","43.64"
"Amen, Lynel","70.93","64.91","49.1","51.86","95.9","43.14","78.74","79.92"
"Trujillo, Alvaro","97.18","60.67","32.34","81.43","19.33","37","58.23","20.43"
"Abegg-Rivera, Roland","18.46","34.53","26.11","37.73","57.39","83.05","44.66","78.17"
"Garza, Gabriel","6.76","99.92","41.88","74.08","62.93","49.81","16.95","42.1"
"Hughes, Jephonique","67.74","98.72","88.09","56.3","83.32","40.34","34.79","32.71"
"Reeder, De Vanta","69.63","99.84","96.46","93.09","88.57","38.22","39.07","76.04"
"Cruz, Adrianna","48.95","31.41","30.4","87.03","58.4","45.37","59.27","99.88"
"Trujillo, Griselda","99.86","81.28","94.54","45.2","38.67","66.34","88.26","39.34"
"Ofori, Nicole","80.86","83.09","27.18","82.23","79.97","55.58","79.55","23.06"
"Botros, Shelby","25.28","54.71","79.4","68.49","45.85","51.44","96.47","77.52"
"Eshima, Daniel","39.91","99.52","98.13","79.21","55.19","53.03","62.77","97.35"
"Barragan, Alexander","95.4","33.96","39.1","98.71","78.19","38.1","57.33","48.95"
"Huynh, Richard","90.19","48.25","63.89","34.09","21.69","56.48","57.9","80.98"
"Herrera, Samuel","66.91","86.58","46.65","59.38","59.35","27.34","62.77","96.4"
"Farr, Monique","80.18","53.25","40.29","73.72","81.63","43.18","93.09","49.84"
"Rodriguez, Jazmine","69.48","92.33","42.72","58.49","46.21","26.32","60.07","45.98"
"Allen, Payne","2.72","30.86","99.02","60.07","83.79","68.2","81.93","98.47"
"Milfs, Christine","82.47","57.39","77.11","55.13","23.77","28.77","77.76","61.05"
"Fadase, Issac","84.34","62.48","71.32","55.33","94.22","49.69","32.69","36.1"
"Mckibbin, Sheldon","96.13","60.94","30.33","76.79","85.12","29.3","62.3","90.83"
"Wilson, Benito","40.32","49.33","82.86","32.25","54.4","35.92","15.01","79.46"
"Sheya, Angelica","74.23","33.07","97.16","15.13","59.79","33.63","99.4","50.67"
"Nguyen, Cherryl May","87.4","14.78","62.59","50.98","54.79","50.53","40.03","82.5"
"Lor, Daniel","84.96","77.25","54.71","24.19","97.25","88.72","64.07","97.56"
"Song, Ronin","14.37","32.96","46.1","60.3","82.02","26.75","82.07","12.96"
"Thomas, Gary","97.26","44.67","53.19","5.06","77.66","50.8","62.9","56.78"
