"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Negrete, Evelyn","82.87","40","46.99","72.51","70.57","58.13","27.43","10.26"
"Porter, Safarha","84.62","73.13","97.92","45.9","37.92","43.3","84.24","55.21"
"Dalke, Chance","84.53","25.84","50.27","68.84","63.35","75.41","29.79","68.92"
"Rollins, Eddie","22.25","62.61","83.73","8.11","27.49","67.86","61.78","75.24"
"Vunguyen, Prasanna","96.09","85.68","80.89","45.46","56.22","15.84","75.09","78.44"
"Henderson, Kala","27.53","53.05","64.36","48.56","52.68","96.07","50.6","80.54"
"Owens, Marquan","75.2","94.9","26.33","60.26","62.05","70.11","27.52","55.16"
"Tourgee, Dawnielle","62.94","41.77","96.43","49.69","95.46","59.75","75.67","47.66"
"Martinez, Leonardo","69.19","74.65","83.12","96.47","87.18","76.1","58.72","78.5"
"Holeso, Mandeep","78.12","21.15","60.37","99.81","59.91","99.43","59.02","62.92"
"Shivers, Equira","31.31","80.72","78.35","60.09","39.99","54.16","80.6","28.47"
"Smith, Ghabre","39.25","82.33","61.03","61.13","54.75","16.48","29.54","52.57"
"Delgado, Juan","35.05","71.77","8.25","22.91","43.91","32.17","51.15","81.89"
"Ross, Taryn","71.99","38.52","19.81","50.44","55.27","64.49","5.29","56.36"
"Murthy, Kelly","99.32","42.59","69.87","62.91","37.95","84.51","82.42","5.27"
"Langston, Nya","56.12","99.55","38.76","47.51","21.18","81.6","40.63","56.26"
"Henderson, Joseph","76.45","90.19","66.76","83.39","57.44","46.19","60.83","98.72"
"Sanchez, Anthony","52.07","96.16","67.5","24.61","49.16","70.84","43.89","95.09"
"Meredith, Ryan","77.62","56.54","74.23","26.1","97.54","54.4","0.1","27.18"
"Whitney, Davon","95.81","48.42","46.86","85.29","69.64","98.31","45.42","94.39"
"Legarde, Tyler","86.63","67.51","56.3","87.95","73.04","31.69","97.7","36.32"
"Park, Andrew","33.04","78.33","28.23","87.18","74.21","49.57","33.15","37.75"
"Bates, Austin","27.67","76.13","75.69","9.23","43.94","66.35","55.71","58.17"
"Castaneda, Belinda","13.79","80.92","78.55","91.56","36.97","86.28","18.64","45.53"
"Elazier, Krystyna","81.28","43.01","52.97","54.68","7.28","50.87","44.16","52.37"
"Posey, Chance","92.58","98","65.97","79.97","83.31","45.53","11.69","26.54"
"Chavez-Casillas, Natalia","5.47","32.69","39.33","95.25","81.77","50.16","93.5","67.91"
"Allwein, Samantha","43.77","66.53","61.62","28.87","42.31","64.11","57.38","62.71"
"Quinonez, Kara","95.22","75.39","78.62","81.32","80.61","74.93","73.5","83.52"
