"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Dennis, Delaina","92.27","79.24","9.83","82.8","23.3","67.14","98.68","97.84"
"Green, Nam","48.49","41.65","97.78","79.48","42.76","75.31","99.69","11.77"
"Brigner, Logan","77.44","21.84","33.24","78.52","38.29","30.97","89.36","27.6"
"Amphonephong, John","66.87","4.63","77.33","19.71","54.36","54.73","46.18","96.06"
"Christinson, Ivy","71.86","17.15","99.24","23.45","15.8","83.58","80.83","76.58"
"Ramirez, Facundo","74.58","60.9","58.36","58.38","63.69","66.22","91.71","64.69"
"Gallegos, Zara","60.49","83.35","35.1","63.43","57.75","87.18","42.78","59.99"
"Pope, Angela","39.27","45.6","86.9","47.15","77.13","95.49","54.61","76.99"
"Walker Jr, Noah","61.4","63.93","23.5","44.35","69.37","85.13","49.76","80.23"
"Peterson, Kenya","85.3","15.59","80.68","60.84","88.42","80.88","53.66","56.4"
"Kleinkopf, Lisa","80.51","78.6","35.31","95.35","60.36","58.01","58.05","17.11"
"Nay, Kai","64.77","36.35","97.55","48.65","37.49","52.65","77.63","97.15"
"Quintero Cota, Denise","98.39","46.56","63.59","65.7","98.45","54.32","59.52","40.05"
"Reyes Ibanez, Richard","19.27","45.28","82.37","50.51","61.9","81.53","34.82","50.28"
"Venegas, Ian","44.73","88.67","82.94","81.93","6.32","35.22","70.69","22.27"
"Mace, Jabril","83.69","97.14","75.69","59.81","38.47","95.11","36.61","53.62"
"Gallegos, Michael","17.68","78.48","54.59","92.81","75.3","74.02","96.09","73.67"
"Farmer, Alicia","75.15","62.97","80.12","96.58","48.91","58.73","78.18","53.97"
"Montano, Melissa","82.34","50.08","81.89","86.18","83.07","29.95","49.7","48.79"
"Lebeau, Henry","84.74","19.42","91.13","40.73","53.19","52.34","34.57","57.14"
"Preston, Chad","75.77","25.22","72.86","73.01","80.42","62.18","52.92","84.27"
"Apodaca, Brandon","30.66","70.89","98.54","27.48","38.65","60.7","71.68","49.65"
"Chavez, Omar","76.22","14.04","98.68","34.04","40","99.99","62.89","82.72"
"Mendoza-Estrada, Jacob","63.18","41.84","30.69","79.51","92.92","52.96","55.75","75.23"
"Schichtel, Amanda","50.17","83.7","84.74","83.93","59.56","65.01","76.8","45.39"
"Garcia Hernandez, Felisha","55.7","24.02","59.62","70.41","18.77","18.91","57.81","80.93"
"Howard, Cherokee","84.4","26.89","96.71","42.72","27.15","40.65","48.4","99.65"
"Hernandez, Angel","24.45","85.05","84.4","76.25","98.51","57.1","48.58","36.44"
"Jurnett, Gerard","78.61","37.4","40.15","38.35","41.17","73.02","78.36","37.32"
"Cannon, Charles","22.41","99.6","69.6","72.75","25.28","51.13","59.01","76.13"
"Kim, Long","75.85","48.36","41.37","99.78","47.97","54.66","77.96","54.32"
"Blaze, Devyn","77.08","47.87","39.03","32.2","53.15","42.43","59.79","71.31"
"Greenwood, Langston","57.54","82.15","55.32","46","12.57","52.86","78.43","45.93"
