"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Wilburn, Maurice","40.27","60.29","76.75","93.5","40.68","68.98","99.65","4.13"
"Alemseged, Jonna","86.9","76.02","77.25","17.17","31.7","57.71","53.35","38.82"
"Williams, Alicia","85.1","30.98","29.51","98.78","56.65","52.32","41.73","34.19"
"Rockwell, Matthew","56.3","84.46","80.3","66.45","28.19","62.18","47.01","48.41"
"Melton, Danielle","96.48","85.15","74.54","68.14","87.01","51.81","48.41","79.39"
"Salazar, Jesus","38.83","76.49","60.71","97.98","40.31","35.64","77.64","85.75"
"Merriweather, Queenisha","59.29","69.3","19.02","80.25","96.63","65.58","3.98","72.79"
"Suarez, Ariana","93.67","40.58","16.81","76.98","95.79","80.6","97.5","73.16"
"Gianniny, Timothy","49.64","96.81","69.61","38.71","97.7","76.6","80.99","54.4"
"Vue, Hakeem","78.44","3.4","81.97","39.71","30.66","33.46","55.34","97.75"
"Webb, Anthony","75.95","20.84","56.72","95.4","84.45","23.27","71.81","80.97"
"Xiong, Kikue","93.44","72.75","44.79","79.79","24.61","7.7","53.46","44.18"
"Livingston, Crue","19.04","49.45","69.58","29.67","26.57","75.56","83.68","67.68"
"Sandoval, Heisel","65.43","84.55","53.27","62.9","7.09","37.2","90.68","92.74"
"Patterson, Darrius","56.54","28.66","45.05","8.87","74.81","40.5","98.84","97.84"
"Ponce-Campa, Eduardo","99.59","68.69","95.6","57.41","85.53","54.64","73.78","72.28"
"Shock, Jordan","97.67","91.87","62.03","98.8","23.9","36.2","31.38","25.18"
"Williams, Raymond","96.36","80.58","63.64","51.41","51.77","58.5","32.63","48.02"
"Scannell, Isaiah","5.65","74.43","42.03","98.13","79.07","99.95","99.9","70.14"
"Haro, Enrique","0.78","13.74","69.67","58.79","55.9","38.36","55","82.83"
"Hamlin, Wyleen","43.37","62.15","70.85","57.4","33.82","64.3","58.55","77.57"
"Ryan, Alexxus","80.77","56.21","61.57","37.08","80.79","82.97","59.73","4.82"
"Walker, Micaiah","93.91","44.2","52.26","62.66","83.07","59.49","76.91","94.07"
"Longtain, Christa","60.83","89.05","80.05","16.71","59.69","19.14","36.34","64.38"
"Liu, Elle-Han","97.89","55","37.71","62.39","88.12","58.99","84.5","39.95"
"Brady, Miguel","61.28","85.87","76.28","6.39","62.07","98.16","65.75","88.07"
