"name","Astronomy","Charms","Defence Against the Dark Arts","Flying","Herbology","History of Magic","Potions","Transfiguration"
"Nguyen, Charlene","99.31","58.45","66.32","18.8","80.12","54.68","75.23","85.87"
"Phan, Eleanor","50.05","67.38","79.76","40.15","63.29","92.5","98.87","47.32"
"Murad, Anna","81.04","58.79","47.71","74.5","63.75","78.19","46.3","34.25"
"Starks, Collin","58.99","77.16","31.38","48.47","50","39.43","61.41","79.82"
"Vigil, Sergio","63.28","69.21","56.61","74.47","23.48","25.09","53.06","97.03"
"Ronnebaum, Hayden","39.16","50.59","63.42","39.84","75.19","81.15","65.78","52.91"
"Garcia, Allyssa","43.29","31.27","56.96","28.95","96.34","37.49","22.32","9.4"
"Cismoski, Jamie","76.84","78.64","95.78","81.01","99.44","49.79","75.15","31.92"
"Johnson, Dayriana","49.33","80.4","59.3","68.07","38.55","48.61","38.22","47.24"
"Leal, Dakota","26.09","52.53","94.03","63.7","27.71","57.79","68.03","99.5"
"Suarez Weigle, Miguel","23.69","79.93","32.24","96.21","53.56","60.39","26.32","65.83"
"Barber, Resha","75.39","96.58","56.61","67.72","37.31","61.07","84.31","74.28"
"Ramirez, William","83.87","64.74","56.92","8.28","47.92","64.35","40.65","24.15"
"Archuleta, Anna","69.83","41.12","58.64","44.25","29.01","56.18","99.01","46.9"
"Tuitele-Britton, Monica","58.44","47.25","94.03","47.2","84.35","90.05","38.29","45.49"
"Vigil, Sydney","33.95","4.87","34.22","99.65","46.77","95.38","50.37","61.37"
"Berry, Makida","22.48","64.5","53.84","76.09","58.81","52.75","38.99","67.74"
"Stenson, Brandon","82.08","52","45.74","61.85","37.43","55.24","54.15","65.02"
"Apineru, Youjia","47.04","89.21","83.67","80.31","50.54","71.69","98.83","31.37"
"Patterson, Angela","98.64","48.53","60.49","99.2","79.58","22.89","60.11","72.15"
"Martinez, Ramona","87.34","31.24","45.76","32.35","72.64","12.68","37.27","55.71"
"Quijano, Corrina","26.84","73.03","62.52","16.44","56.54","76.16","85.91","68.24"
"Mizoue, Sarah","84.64","45.04","33.08","43.61","79.33","59.56","99.81","12.73"
"Hollins, Nolan","39.88","88.5","9.25","73.65","46.16","78.64","68.18","29.59"
"Sandoval, Vanessa","61.05","42.13","34.06","65.57","52.54","55.52","84.29","38.41"
"Dorji, Andrew","69.86","30.37","77.53","43.19","96.71","97.33","54.35","80.19"
